Election Program Name,LocalBody Name,Division,District,Name of Contesting Candidate,constituency,Total Votes Secured,Party Name,Rank
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Dhiraj Rampyare Dube,115,45,Independent,13
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRAKASH VASANT KASAR,115,26,Independent,14
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,115,290,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRAMILA KAMLAKAR PATIL,116,8326,Indian National Congress,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MEENAKSHI ASHOK PATIL,116,7857,Shivsena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MEERA ANAND DIXIT,116,3625,Bhartiya Janata Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Shweta Shyam Mahadik,116,804,Maharashtra Navnirman Sena,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,BABY CHHABU SAWANT,116,774,Bahujan Samaj Party,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MANISHA ANIL TUPE,116,714,Nationalist Congress Party,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Vaishali Satish Gajdhane,116,256,Bahujan Mukti Party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Jayshree Arjun Sawant,116,176,Independent,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VIDYA ANAND SHINDE,116,152,Bharip Bahujan Mahasangh,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MEENAKSHI JAGANNATH BAWA,116,63,Republican Party of India (A),10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MANISHA BALU SAWANT,116,37,Independent,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,116,300,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SUVARNA SAHADEV KARANJE,117,7315,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ASHWINI SANTOSH KARADE,117,5413,Bhartiya Janata Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SUSHILA BABU MANCHEKAR,117,4229,Nationalist Congress Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SHWETA RAJESH PAWASKAR,117,3483,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,DEEPALI DILIP PATIL,117,2319,Maharashtra Navnirman Sena,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,DIPIKA SANTOSH PATIL,117,354,Independent,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,117,560,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,UPENDRA DATTARAM SAWANT,118,9092,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,jayant vasudev dandekar,118,8852,Maharashtra Navnirman Sena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MANGESH EKNATH SANGLE,118,4379,Bhartiya Janata Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,RAHUL DATTARAM WAGHDHARE,118,2974,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SURENDRA SAMBHAJI KOTHAWALE,118,609,Independent,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SACHIN MARUTI BODAKE,118,607,Nationalist Congress Party,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SURESH HANUMANT WAGHMARE,118,459,Bharip Bahujan Mahasangh,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SURESH HARICHANDRA BHALERAO,118,450,Republican Party of India (A),8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Siddharth Sandipan Chandanshive,118,416,bahujan republican sociolist party,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VIKEY BALASAHEB JADHAV,118,176,Independent,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Chetan Chandrakant Ahire,118,81,Independent,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,BHUPENDRA VIJAY BHOSALE,118,78,Sambhaji Brigade,12
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ANAND BALRAJ SUNCHU,118,59,Akhil Bharatiya Sena,13
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,RAJESH JAIWANT GAIKWAD,118,57,Independent,14
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRASHANT DNYANESHWAR GANGAWANE,118,21,Independent,15
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,118,319,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Manisha Harishchandra Rahate,119,6979,Nationalist Congress Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SUNITA RAJAN HANDE,119,6669,Shivsena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANGITA SATYAWAN BHASKAR,119,4039,Bhartiya Janata Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,POOJA VISHWANATH FULARI,119,3656,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Jayashree Pandurang Sarang,119,1181,Maharashtra Navnirman Sena,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,119,467,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Rajrajeshwari Anil Redkar,120,7770,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,CHARU CHANDAN SHARMA,120,3688,Nationalist Congress Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Soma Rajesh Sarkar,120,3297,Republican Party of India (A),3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRAGATI SHIVAJI MANE,120,2020,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NEELAM ANANDA PATIL,120,1649,Maharashtra Navnirman Sena,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ASHWINI KAMLESH KASBE,120,675,bahujan republican sociolist party,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sujata Madhukar Sarode,120,133,Bahujan Mukti Party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Faridabi ShakilAhmad Qureshi,120,74,Independent,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,120,547,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Chandravati Shivaji More,121,4769,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Vaishali Sachin Sakte,121,2274,Maharashtra Navnirman Sena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ANNUM SHERJADA KHAN,121,2010,Indian National Congress,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRADNYA SUKHDEV GAIKWAD,121,1417,Bhartiya Janata Party,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SUSHAMA PRAKASH BIRHADE,121,1158,Bahujan Samaj Party,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VARSHA KARBHARI DAWANDE,121,492,All India Majlis e Ittehadul Muslimeen,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JAGDEVI RATANDEEP BANSODE,121,334,Republican Party of India (A),7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VANDANA SANTOSH SONAWANE,121,300,Bharip Bahujan Mahasangh,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,DEEPIKA VIJAY JADHAV,121,266,Sambhaji Brigade,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Hemlata Prashant Palwankar,121,212,Nationalist Congress Party,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,INDU DAMODAR PAIKRAO,121,191,Independent,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRATIMA RAJIV BHAVIR,121,153,Bahujan Mukti Party,12
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JYOTSNA VIJAY SORTE,121,27,Independent,13
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,121,325,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Vaishali Shrikant Patil,122,4942,Bhartiya Janata Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Jaya Hanumantha Venkatgiri,122,4220,Nationalist Congress Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Snehal Deepak Mande,122,3749,Shivsena,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ANJALI VASANT DARADE,122,1552,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MANISHA SANTOSH SHITRE,122,655,Communist Party Of India (Marxist),5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Surekha Suresh Chavan,122,542,Independent,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PALLAVI VIPUL RANKHABE,122,359,bahujan republican sociolist party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sujata Ashwin Chawan,122,318,Maharashtra Navnirman Sena,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,122,378,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SNEHAL SUNIL MORE,123,9322,Independent,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Dr. Bavdane Bharti Subhodh,123,8567,Shivsena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANGITA VIJAY PADWAL,123,4004,Bhartiya Janata Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SUNITA PRAMOD JADHAV,123,2062,Independent,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Snehalata Kailas Bondarde,123,680,Indian National Congress,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,anita gangadhar mohite,123,517,Maharashtra Navnirman Sena,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRIYANKA DEEPAK NAVELE,123,192,Bahujan Samaj Party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ARUNA ASHOK PATIL,123,153,Independent,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JAYASHREE VINOD CHAUGULE,123,100,Independent,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ASHA RAMAKANT MOHITE,123,59,Independent,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,123,300,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Jyoti Harun Khan,124,6686,Nationalist Congress Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Namita Jeevan kini,124,3906,Bhartiya Janata Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SHAMLI SHAILESH TALEKAR,124,3569,Shivsena,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,LALITA ROHIT TAMBE,124,2715,Independent,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Shamira Mukhtar Shaikh,124,1017,All India Majlis e Ittehadul Muslimeen,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KALPANA PIYUSH CHHEDA,124,848,Maharashtra Navnirman Sena,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,rashida khalil khot,124,846,Indian National Congress,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANJANA SANJAY JADHAV,124,161,Bahujan Samaj Party,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Farida Hayat Shaikh,124,62,Samajwadi Party,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SARITA SAMBHAJI RAUL,124,61,Independent,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANJANA RAJENDRA JADHAV,124,57,Independent,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,UJWALA RAMESH KAMBLE,124,29,Independent,12
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,124,233,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Rupali Suresh Awale,125,10652,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sakshi Sachin Pawar,125,7608,Bhartiya Janata Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VAISHALI RAJENDRA KAMBLE,125,1745,Indian National Congress,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,chetna chandrakant chavan,125,1522,Bahujan Samaj Party,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SUCHITA SATISH PAWAR,125,1239,Independent,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Surekha Uttam Ghuge,125,969,Maharashtra Navnirman Sena,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Vaishali Chandrakant More,125,746,Nationalist Congress Party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANGEETA VITTHAL TELANG,125,437,Bharip Bahujan Mahasangh,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SHEELA NAMDEV UBALE,125,250,Independent,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SARIKA KISHOR KARDAK,125,127,Janata Dal Secular,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JYOTI MILIND RAIGAONKAR,125,108,Samajwadi Party,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SMIITA MALHARI SATHE,125,74,Independent,12
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,DIMPLE DHARMESH THAKKAR,125,67,Independent,13
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KOMAL DHAMMADEEP BANSODE,125,31,Republican Party of India (A),14
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,125,494,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ARCHANA SANJAY BHALERAO,126,12759,Maharashtra Navnirman Sena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Shraddha Rajendra Chankadan,126,6089,Bhartiya Janata Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SWATI SUNIL SHITAP,126,5623,Shivsena,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,126,515,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,TUKARAM KRISHNA PATIL,127,8596,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Reetu Rajesh Tavade,127,4572,Bhartiya Janata Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,GANESH VASANT BHAGAT,127,4458,Maharashtra Navnirman Sena,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KETAN PRAFUL SHAH,127,1589,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NAVNATH SHANKAR SHEJWAL,127,827,Independent,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANJAY MOTIRAM JADHAV,127,559,Bharip Bahujan Mahasangh,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JYOTI PRAMOD KEDARE,127,541,Bahujan Samaj Party,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,CHANDRAMANI CHANDRAKANT JADHAV,127,425,Nationalist Congress Party,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VIJAY VITTHAL GORE,127,322,Independent,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SATISH SAMPAT LOKHANDE,127,222,Independent,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,DINESH DILIP SHELAR,127,104,Independent,11
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Yogesh Raghunath Pawar,127,96,Independent,12
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRAKASH SHANKAR KAMBLE,127,79,Independent,13
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sachin Harishchandra Patade,127,69,Independent,14
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANJAY VASUDEO SAWANT,127,64,Independent,15
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SURESH MAHADEV BHOSALE,127,45,Independent,16
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Santosh Vitthal Salunke,127,42,Independent,17
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,RAJESH MADHUKAR PARKHE,127,40,Republican Party of India (Khobragade),18
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Sudarshan Kisan Ahire,127,35,Independent,19
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SHRIKANT YASHWANT SURVE,127,30,Independent,20
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,DATTARAM NARAYAN KANK,127,27,Akhil Bharatiya Sena,21
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Jairam Haridas Kagade,127,10,Sambhaji Brigade,22
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,127,252,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ASHWINI DEEPAK HANDE,128,12980,Shivsena,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SHUBHANGI DASHRATH SHIRKE,128,4910,Independent,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Prachi Pravin Vichare,128,4898,Bhartiya Janata Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,nanda manik gavhane,128,607,Maharashtra Navnirman Sena,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANGEETA VIJAY VARPE,128,579,Indian National Congress,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,ASHA ASHOK KANASE,128,287,Nationalist Congress Party,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,nanda maruti gaikwad,128,276,Bharip Bahujan Mahasangh,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PUSHPALATA ATMARAM TALEKAR,128,148,Sambhaji Brigade,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Kavita Dasharath Chilawant,128,122,Independent,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KAMINI PRADEEP CHAUHAN,128,42,Independent,10
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,128,348,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Suryakant Jayhari Gawali,129,6927,Bhartiya Janata Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRADIP BABAN MANDAVKAR,129,6712,Shivsena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Roshan Harun Khan,129,4962,Nationalist Congress Party,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Archana Pradyumna Waghmare,129,1946,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Saleem Maqbool Pathan,129,670,All India Majlis e Ittehadul Muslimeen,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,RAJESH RAMCHANDRA MORE,129,591,Independent,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JAYWANT MARUTI WAGHMARE,129,63,Akhil Bharatiya Sena,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,129,329,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,BINDU CHETAN TRIVEDI,130,11055,Bhartiya Janata Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KAVITA MAHESH WALUNJ,130,5910,Shivsena,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Supriya Pravin Kadam,130,2397,Indian National Congress,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NAFISA AYUB SHAIKH,130,2394,Maharashtra Navnirman Sena,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,POONAM SACHIN GUPTA,130,935,Nationalist Congress Party,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Lusi David farnandis,130,401,Independent,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,JULIE DENIS DSOUZA,130,296,Independent,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Pratibha Swarup Khedekar,130,91,Independent,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRITI NARANJI THAKKER,130,42,Independent,9
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,NOTA,130,529,,
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Rakhee Harishchandra Jadhav,131,12123,Nationalist Congress Party,1
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,BHALCHANDRA MOTIRAM SHIRSAT,131,11375,Bhartiya Janata Party,2
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,Mangal Lakhamshi Mange,131,4701,Shivsena,3
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SURESH GANAPAT MARATHE,131,1038,Indian National Congress,4
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,SANDEEP ANKUSH RANE,131,899,Maharashtra Navnirman Sena,5
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,KAVERI DNYANESHWAR SHIRAL,131,143,Bahujan Samaj Party,6
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,MONTU DEEPAK JOSHI,131,129,Independent,7
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,PRAVIN CHANDRAKANT KEDARE,131,112,Bharip Bahujan Mahasangh,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,RAMESH LALJI RANGANI,131,112,Independent,8
BruhanMumbai Mahanagar Palika,BruhanMumbai Mahanagar Palika,Konkan,Mumbai,VINAY VIDHYADHAR ACHAREKAR,131,104,Republican Party of India (A),9
