Sr. No.,DISTRICT,MUNICIP ALITY,WARD NO.,WARD CATEG.,NAME,PARTY,ELECTED CANDIDATE (MALE/ FEMALE),"ELECTED CANDIDATE BELONGS WHICH CATEG. WHETHER GEN, SC, ST, OBC"
1544,UDAIPUR,KANOD,2,OBC,GULAB SINGH,INC,MALE,OBC
1545,UDAIPUR,KANOD,3,GEN,MAHAVEER DAK,BJP,MALE,GEN
1546,UDAIPUR,KANOD,4,ST,RAJMAL,INC,MALE,ST
1547,UDAIPUR,KANOD,5,OBCW,KAMALA DEVI SWARNKAR,BJP,FEMALE,OBCW
1548,UDAIPUR,KANOD,6,GEN,MANOJ VYAS,BJP,MALE,GEN
1549,UDAIPUR,KANOD,7,STW,BASANTI,INC,FEMALE,STW
1550,UDAIPUR,KANOD,8,OBC,SHYAM LAL SUTHAR,BJP,MALE,OBC
1551,UDAIPUR,KANOD,9,GENW,CHANDRA KALA,INC,FEMALE,GENW
1552,UDAIPUR,KANOD,10,GENW,RAJU KAMARIYA,BJP,FEMALE,GENW
1553,UDAIPUR,KANOD,11,SCW,PREM BAI RAGAR W/O MOHAN LAL,INC,FEMALE,SCW
1554,UDAIPUR,KANOD,12,GENW,SUSHILA DEVI,INC,FEMALE,GENW
1555,UDAIPUR,KANOD,13,GEN,USHMAN KHAN PATHAN,INC,MALE,GEN
1556,UDAIPUR,KANOD,14,SC,JAGDISH MEGWAL,BJP,MALE,SC
1557,UDAIPUR,KANOD,15,GEN,PRANVEER SINGH,INC,MALE,GEN
1558,UDAIPUR,UDAIPUR,1,STW,DURGA MEENA,INC,FEMALE,STW
1559,UDAIPUR,UDAIPUR,2,GEN,MANAK LAL,INC,MALE,GEN
1560,UDAIPUR,UDAIPUR,3,GENW,KAVITA MODI,BJP,FEMALE,GENW
1561,UDAIPUR,UDAIPUR,4,GEN,AJAY PORWAL,INC,MALE,GEN
1562,UDAIPUR,UDAIPUR,5,GENW,KALPANA BHATNAGAR,BJP,FEMALE,GENW
1563,UDAIPUR,UDAIPUR,6,SCW,PRATIBHA,INC,FEMALE,SCW
1564,UDAIPUR,UDAIPUR,7,GEN,KAMLESH JAWARIYA,IND,MALE,GEN
1565,UDAIPUR,UDAIPUR,8,ST,JIVAN LAL GAMETI,INC,MALE,ST
1566,UDAIPUR,UDAIPUR,9,OBC,GANGARAM TELI,BJP,MALE,OBC
1567,UDAIPUR,UDAIPUR,10,OBCW,MOHAN DEVI,BJP,FEMALE,OBCW
1568,UDAIPUR,UDAIPUR,11,OBCW,KANCHAN SONI (KESAR SONI),BJP,FEMALE,OBCW
1569,UDAIPUR,UDAIPUR,12,OBC,LALIT KUMAR PRAJAPAT,BJP,MALE,OBC
1570,UDAIPUR,UDAIPUR,13,GEN,DINESH SHRIMALI,INC,MALE,GEN
1571,UDAIPUR,UDAIPUR,14,GEN,MOHAMAD KHALIL,BJP,MALE,GEN
1572,UDAIPUR,UDAIPUR,15,GENW,CHANDRAKALA BOLYA,BJP,FEMALE,GENW
1573,UDAIPUR,UDAIPUR,16,GEN,RAJESH SINGHVI,CPI(M),MALE,GEN
1574,UDAIPUR,UDAIPUR,17,GENW,KIRAN JAIN,BJP,FEMALE,GENW
1575,UDAIPUR,UDAIPUR,18,GEN,BHAVAR SINGH DEVDA,BJP,MALE,GEN
1576,UDAIPUR,UDAIPUR,19,SC,CHANDRA RAV,BJP,FEMALE,SCW
1577,UDAIPUR,UDAIPUR,20,GENW,SARIKA SHARMA,BJP,FEMALE,GENW
1578,UDAIPUR,UDAIPUR,21,SC,SATYANARAYAN MOCHI,BJP,MALE,SC
1579,UDAIPUR,UDAIPUR,22,GENW,RAJKUMARI MENARIYA,INC,FEMALE,GENW
1580,UDAIPUR,UDAIPUR,23,OBCW,CHANDA TAILOR,BJP,FEMALE,OBCW
1581,UDAIPUR,UDAIPUR,24,GEN,MANISH SHRIMALI,INC,MALE,GEN
1582,UDAIPUR,UDAIPUR,25,GENW,LALITA MENARIYA,BJP,FEMALE,GENW
1583,UDAIPUR,UDAIPUR,26,GENW,HEMLATA SHARMA,BJP,FEMALE,GENW
1584,UDAIPUR,UDAIPUR,27,GENW,MINAKSHI JAIN,BJP,FEMALE,GENW
1585,UDAIPUR,UDAIPUR,28,GEN,LOKESH GAUR,INC,MALE,GEN
1586,UDAIPUR,UDAIPUR,29,GEN,MANOHAR SINGH PAWAR,BJP,MALE,GEN
1587,UDAIPUR,UDAIPUR,30,GEN,BHUPENDRA JAIN,BJP,MALE,GEN
1588,UDAIPUR,UDAIPUR,31,ST,PHOOL SINGH MEENA,BJP,MALE,ST
1589,UDAIPUR,UDAIPUR,32,OBC,DHANPAL SWAMI,BJP,MALE,OBC
1590,UDAIPUR,UDAIPUR,33,SC,RAKESH KHOKHAWAT,INC,MALE,SC
1591,UDAIPUR,UDAIPUR,34,GENW,MEENA SHARMA,BJP,FEMALE,GENW
1592,UDAIPUR,UDAIPUR,35,GENW,MADHU PALIWAL,BJP,FEMALE,GENW
1593,UDAIPUR,UDAIPUR,36,GENW,SHIPRA UPADHYAY,INC,FEMALE,GENW
1594,UDAIPUR,UDAIPUR,37,OBCW,RAKHI MALI,BJP,FEMALE,OBCW
1595,UDAIPUR,UDAIPUR,38,GEN,MOHMED AYUB,INC,MALE,GEN
1596,UDAIPUR,UDAIPUR,39,GEN,PREM SINGH SAKTAWAT,BJP,MALE,GEN
1597,UDAIPUR,UDAIPUR,40,GENW,VANDANA PORWAL,BJP,FEMALE,GENW
1598,UDAIPUR,UDAIPUR,41,SCW,KAJAL,INC,FEMALE,SCW
1599,UDAIPUR,UDAIPUR,42,GENW,ARCHANA SHARMA,BJP,FEMALE,GENW
1600,UDAIPUR,UDAIPUR,43,OBC,KRISHNA KANT KUMAWAT,BJP,MALE,OBC
1601,UDAIPUR,UDAIPUR,44,OBCW,MANJU DEVI SAHU,BJP,FEMALE,OBCW
1602,UDAIPUR,UDAIPUR,45,OBC,ASHOK LODHA,BJP,MALE,OBC
1603,UDAIPUR,UDAIPUR,46,OBC,MOHMED AYUB,INC,MALE,OBC
1604,UDAIPUR,UDAIPUR,47,GEN,MUSLIM ALI BANDUKWALA,INC,MALE,GEN
1605,UDAIPUR,UDAIPUR,48,GENW,REHANA JARMAN WALA,INC,FEMALE,GENW
1606,UDAIPUR,UDAIPUR,49,GENW,KUSUM LATA CHOUBE,BJP,FEMALE,GENW
1607,UDAIPUR,UDAIPUR,50,GEN,PARAS SINGHVI,BJP,MALE,GEN
1608,UDAIPUR,UDAIPUR,51,GEN,VIJAY AHUJA,BJP,MALE,GEN
1609,UDAIPUR,UDAIPUR,52,GEN,SANJAY PAGARIYA,INC,MALE,GEN
1610,UDAIPUR,UDAIPUR,53,OBCW,JYOTI TAK,IND,FEMALE,OBCW
1611,UDAIPUR,UDAIPUR,54,GEN,MAHENDRA SINGH SHEKHAWAT,BJP,MALE,GEN
1612,UDAIPUR,UDAIPUR,55,GENW,NAFISA SAIF,INC,FEMALE,GENW
