SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
339,ALWAR,BEHROR,RIW ALI,OBC,PARAS DEVI,OBC (Woman)
340,ALWAR,BEHROR,SHEHPUR,General,DHARMISHDA,OBC
341,ALWAR,BEHROR,T ASING,SC (Woman),OM PRAKASH MEENA,SC (Woman)
342,ALWAR,BEHROR,DAHAMI,SC,RAJ PAL,SC
343,ALWAR,KA THUMAR,ADOLI,General (Woman),GIRIJA SHANKAR,OBC (Woman)
344,ALWAR,KA THUMAR,ARURWA,General (Woman),RAJENDER SINGH,OBC (Woman)
345,ALWAR,KA THUMAR,BADODAKAN,ST,UNKAAR SINGH,ST
346,ALWAR,KA THUMAR,BASETH,SC,REKHA KUMARI,SC
347,ALWAR,KA THUMAR,BEHRAMPUR,SC,PREETI BHAMBHI,SC
348,ALWAR,KA THUMAR,BEHTUKALA,General,SANTOSH DANGI,General
349,ALWAR,KA THUMAR,BHANOKHER,ST (Woman),NATHU LAL,ST (Woman)
350,ALWAR,KA THUMAR,DANTIYA,General (Woman),LALITA SUTHAR,OBC (Woman)
351,ALWAR,KA THUMAR,DARODA,SC (Woman),POOJA DEVI,SC (Woman)
352,ALWAR,KA THUMAR,DOROLI,General (Woman),SHANTI,OBC (Woman)
353,ALWAR,KA THUMAR,GARO,SC,CHHELU KANWAR,SC
354,ALWAR,KA THUMAR,ISROT A,General (Woman),SHRI BHAWAR LAL,OBC (Woman)
355,ALWAR,KA THUMAR,JADLA,General,PAYERE LAL,OBC
356,ALWAR,KA THUMAR,JAHADU,ST,GOIRISHANKAR,ST
357,ALWAR,KA THUMAR,JATWADA,OBC,SULOCENA,OBC
358,ALWAR,KA THUMAR,KALWADI,OBC,JAYANA DEVI,OBC
359,ALWAR,KA THUMAR,KA THUMAR,SC (Woman),SHRI MATI DHARSHENA,SC (Woman)
360,ALWAR,KA THUMAR,KHEDA KALYANPURA,General (Woman),RAM NIWAS,ST (Woman)
361,ALWAR,KA THUMAR,KHEDAMEDA,General (Woman),MUMTA JAAT,OBC (Woman)
362,ALWAR,KA THUMAR,KHEDLIRAIL,SC (Woman),RAJENDER KUMAR,SC (Woman)
363,ALWAR,KA THUMAR,KHOH,General,SHRI MATI MUGNI DEVI,General
364,ALWAR,KA THUMAR,KHONKHER,General (Woman),SITA RAM,SC (Woman)
365,ALWAR,KA THUMAR,MAINTHANA,General (Woman),BHAWAR LAL,OBC (Woman)
366,ALWAR,KA THUMAR,MA THURAHEDA,General,SHRI RATIRAM,OBC
367,ALWAR,KA THUMAR,MESARI,SC (Woman),MUMTA KANWAR,SC (Woman)
368,ALWAR,KA THUMAR,NAHERKHORA,SC (Woman),SUNITA KUMARI,SC (Woman)
369,ALWAR,KA THUMAR,NATOJ,General,MEERA DEVI,General
370,ALWAR,KA THUMAR,NURPUR,SC,SHYAM LAL,SC
371,ALWAR,KA THUMAR,RETA,General,SHYAM LAL,General
372,ALWAR,KA THUMAR,RONIJA THAN,General,KALURAM,ST
373,ALWAR,KA THUMAR,SAHARI,General (Woman),PUSHPA DEVI,OBC (Woman)
374,ALWAR,KA THUMAR,SALWADI,General (Woman),MOTI LAL,General (Woman)
375,ALWAR,KA THUMAR,SAMUCHI,SC,JAILAL MOTSERA,SC
376,ALWAR,KA THUMAR,SONKH,General,MONIKA,General
377,ALWAR,KA THUMAR,SONKHER,ST,GEET A,ST
378,ALWAR,KA THUMAR,SONKHERI,General (Woman),SEETA TAM,General (Woman)
379,ALWAR,KA THUMAR,T ASAI,General,TAWAR SINGH,General
380,ALWAR,KA THUMAR,TIGRIYA,OBC,KAMLA DEVI,OBC
381,ALWAR,KA THUMAR,TIKERI,General (Woman),NIRMALA,OBC (Woman)
382,ALWAR,KA THUMAR,TITPURI,General,NANU DEVI,OBC
383,ALWAR,KA THUMAR,TODA,ST (Woman),BIML A,ST (Woman)
384,ALWAR,KA THUMAR,Berka,OBC (Woman),DUWARKA PRASAD,OBC (Woman)
385,ALWAR,KISHANGARHBAS,BAGHERIKALAN,General,RAM KISHAN,OBC
386,ALWAR,KISHANGARHBAS,BAGHUDA,General,SUMAN DEVI,OBC
387,ALWAR,KISHANGARHBAS,BAHADERPUR,General (Woman),CHHOTU RAM,General
388,ALWAR,KISHANGARHBAS,BAHADERPUR PATTI,General (Woman),ANJU SAHU,OBC
389,ALWAR,KISHANGARHBAS,BAMBORA,OBC,SANTOSH,OBC
390,ALWAR,KISHANGARHBAS,BHAJEDA,OBC,MONIKA,OBC
391,ALWAR,KISHANGARHBAS,BRSINGPUR,General,VIMLA DEVI,OBC
392,ALWAR,KISHANGARHBAS,CHIKANI,General,SHRI SADHUL DAAN,OBC
393,ALWAR,KISHANGARHBAS,GHASOLI,General,RAMMI DEVI,OBC
394,ALWAR,KISHANGARHBAS,ISMAILPUR,General (Woman),RAJU RAM,General
395,ALWAR,KISHANGARHBAS,KARULI,General,SHRI UPENDRA SINGH,General
396,ALWAR,KISHANGARHBAS,KHANPURMEW AN,General,P ARMESHEW ARI,OBC
397,ALWAR,KISHANGARHBAS,KITHUR,General (Woman),PERMESHUR LAL,OBC
398,ALWAR,KISHANGARHBAS,KOLGAON,General (Woman),DHANNA RAM MEGHWAL,OBC
399,ALWAR,KISHANGARHBAS,LANGADBAS,OBC,RAJJI RAM,OBC
400,ALWAR,KISHANGARHBAS,MACHHROLI,General,NINDER SINGH,General
401,ALWAR,KISHANGARHBAS,MAHONDA,OBC (Woman),SANTOSH,OBC
402,ALWAR,KISHANGARHBAS,MANCHA,General (Woman),MOMAN RAM,OBC
403,ALWAR,KISHANGARHBAS,MEHERMPUR,General (Woman),MAINA DEVI,OBC
404,ALWAR,KISHANGARHBAS,MUSAKHEDA,General (Woman),BHOOP RAM,OBC (Woman)
405,ALWAR,KISHANGARHBAS,NURNAGAR,General (Woman),INDERA,SC
406,ALWAR,KISHANGARHBAS,PATANMEWAN,OBC (Woman),KARM SINGH,OBC
407,ALWAR,KISHANGARHBAS,RAIBKA,OBC,ARJUN RAM,OBC (Woman)
408,ALWAR,KISHANGARHBAS,RA T AKHURD,General (Woman),RANJEET SINGH,General (Woman)
409,ALWAR,KISHANGARHBAS,SIRMOLI,General,SUSHEELA DEVI,OBC
410,ALWAR,KISHANGARHBAS,TERWALA,General (Woman),MANJU BALA,OBC
411,ALWAR,KISHANGARHBAS,NANGLAIA YSIS,SC,ANIL KUMAR,SC
412,ALWAR,KISHANGARHBAS,MOTHUKA,SC,VEERP AL,SC
413,ALWAR,KISHANGARHBAS,GHAMUKAD,OBC (Woman),OM PRAKASH,OBC
414,ALWAR,KISHANGARHBAS,DONGDA,SC,KULVINDER KAUR,SC
415,ALWAR,KISHANGARHBAS,MIRAKA,SC (Woman),VIKAS KUMAR,SC (Woman)
416,ALWAR,KISHANGARHBAS,BALLABHGRAM,SC (Woman),LAXMAN,SC
417,ALWAR,KISHANGARHBAS,JILOT A,SC (Woman),KAMLESH,SC
418,ALWAR,KISHANGARHBAS,T AHANOLI,SC,SUNIT A,SC
419,ALWAR,KOTKASIM,BADHANA,OBC,SEEMA DEVI,OBC
420,ALWAR,KOTKASIM,BAGHERIKHURD,General (Woman),SIMLA DEVI,OBC (Woman)
421,ALWAR,KOTKASIM,BELAHEDI,General,VIJENDER KUMAR,OBC
422,ALWAR,KOTKASIM,BHONKER,General,KAMAL JEET,OBC
423,ALWAR,KOTKASIM,BUDHIBAWAL,OBC (Woman),SUNDER DEVI,OBC (Woman)
424,ALWAR,KOTKASIM,GHIKAKA,General (Woman),SUMAN,OBC (Woman)
425,ALWAR,KOTKASIM,GUNDSAR,SC (Woman),KASHI RAM,SC (Woman)
426,ALWAR,KOTKASIM,HARSOLI,General,OM PRAKASH,OBC
427,ALWAR,KOTKASIM,IKROTIYA,OBC (Woman),JASBEER SINGH,OBC (Woman)
428,ALWAR,KOTKASIM,JATIYANA,SC,JYOTI RANI,SC
429,ALWAR,KOTKASIM,JODIYA,General,PALVINDER SINGH,OBC
430,ALWAR,KOTKASIM,KANHEDKA,General (Woman),SHYAM SUNDER,OBC (Woman)
431,ALWAR,KOTKASIM,KHANPURAHIR,General,RANVEER SINGH,OBC
432,ALWAR,KOTKASIM,KOTKASIM,General,MUKESH KUMAR,OBC
433,ALWAR,KOTKASIM,KUTUBPUR,General (Woman),NEELAM RANI,OBC (Woman)
434,ALWAR,KOTKASIM,LADPUR,OBC,MANNI RAM,OBC
435,ALWAR,KOTKASIM,MAKDAWA,General (Woman),AWTAR SINGH,General (Woman)
436,ALWAR,KOTKASIM,NANGALSALIYA,General (Woman),JASVEER KAUR,General (Woman)
437,ALWAR,KOTKASIM,PATANAHIR,SC (Woman),NIRMALA RANI,SC (Woman)
438,ALWAR,KOTKASIM,PATLIYA,SC,GURMEET KAUR,SC
439,ALWAR,KOTKASIM,PUR,General (Woman),PRAMOD,General (Woman)
440,ALWAR,KOTKASIM,TAUBAS,SC,AMAN DEP,SC (Woman)
441,ALWAR,KOTKASIM,TIGAWA,OBC,ASHOK,OBC
442,ALWAR,KOTKASIM,UJOLI,General (Woman),MOHAN LAL,OBC (Woman)
443,ALWAR,LAXMANGARH,BADKA,SC (Woman),KAMAL JEET,SC (Woman)
444,ALWAR,LAXMANGARH,BADODAMEW,General,SAROJ BALA,General
445,ALWAR,LAXMANGARH,BARELA,OBC,SHARDA,OBC
446,ALWAR,LAXMANGARH,BHESADAWAT,General,TEJENDRA,OBC (Woman)
447,ALWAR,LAXMANGARH,BICHGAON,General,IKBAL SINGH,OBC
448,ALWAR,LAXMANGARH,BUTIYANA,General (Woman),MANPREET KAUR,General (Woman)
449,ALWAR,LAXMANGARH,BUTOLI,OBC,CHANDODEVI,OBC
450,ALWAR,LAXMANGARH,CHIDW AI,General,DEVILAL,OBC
451,ALWAR,LAXMANGARH,CHIMRAWALIGOUR,General (Woman),MAINNA KUMARI,OBC (Woman)
452,ALWAR,LAXMANGARH,DINAR,OBC,RAJARAM,OBC
453,ALWAR,LAXMANGARH,DIVALI,SC,KANTA DEVI,SC
454,ALWAR,LAXMANGARH,DONGDI,General (Woman),GURMEET SINGH,OBC (Woman)
455,ALWAR,LAXMANGARH,GANDURA,General,RAJENDER SINGH,OBC
456,ALWAR,LAXMANGARH,GHAT,General (Woman),AMRITP AL,OBC (Woman)
457,ALWAR,LAXMANGARH,GODHDA,General (Woman),URMILA,OBC (Woman)
458,ALWAR,LAXMANGARH,GOVINDGARH,General,BHAWANA,General
459,ALWAR,LAXMANGARH,HARSANA,General (Woman),RAJPREET KAUR,General (Woman)
460,ALWAR,LAXMANGARH,HASANPUR,OBC (Woman),DAYA RAM,OBC (Woman)
461,ALWAR,LAXMANGARH,INDPUR,SC (Woman),INDRA DEVI,SC (Woman)
462,ALWAR,LAXMANGARH,ITEDA,OBC (Woman),ASHOK,OBC (Woman)
463,ALWAR,LAXMANGARH,JAVALI,SC,GEET A,SC
464,ALWAR,LAXMANGARH,JHALATALA,ST,REET A,ST
465,ALWAR,LAXMANGARH,KHEDAMANGALSINGH,ST (Woman),NEELAM,ST (Woman)
466,ALWAR,LAXMANGARH,KHEDAMEHMOOD,SC (Woman),JAIRAM,SC (Woman)
467,ALWAR,LAXMANGARH,KHOHRAMLALVALI,ST,NEETU,ST
468,ALWAR,LAXMANGARH,KHUDIYANA,General (Woman),SHARDA,General (Woman)
469,ALWAR,LAXMANGARH,LAXMANGARH,General,NORANG,General
470,ALWAR,LAXMANGARH,LILI,OBC,AMRIT PAL,OBC
471,ALWAR,LAXMANGARH,MALPUR,General (Woman),VEERPAL KAUR,General (Woman)
472,ALWAR,LAXMANGARH,MOJPUR,General (Woman),SUNITA DEVI,General (Woman)
473,ALWAR,LAXMANGARH,MOLIYA,General (Woman),PREM CHAND,General (Woman)
474,ALWAR,LAXMANGARH,NANGALKHANJADI,OBC (Woman),DALIP GIDARA,OBC (Woman)
475,ALWAR,LAXMANGARH,NASW ARI,General (Woman),MANGAL SINGH,General (Woman)
476,ALWAR,LAXMANGARH,NAYANA,SC,MUNSUF,SC
477,ALWAR,LAXMANGARH,NIJAMNAGAR,General,SHARMILLA,SC
478,ALWAR,LAXMANGARH,PHAHERI,OBC (Woman),MANPREET KAUR,OBC (Woman)
479,ALWAR,LAXMANGARH,RAMBAS,General,BHUPENDER KAUR,General (Woman)
480,ALWAR,LAXMANGARH,SADEMPUR,General (Woman),JAGDEESH RAI,OBC (Woman)
481,ALWAR,LAXMANGARH,SAIMLAKHURD,General (Woman),SARITA RANI,OBC (Woman)
482,ALWAR,LAXMANGARH,SEHERA,OBC,SAFFI MOHEMMAD,OBC
483,ALWAR,LAXMANGARH,SHEHDKA,General,KALAWATI,OBC
484,ALWAR,LAXMANGARH,SOURAI,General,RANVEER BHADU,OBC
485,ALWAR,LAXMANGARH,TODANAGAR,ST (Woman),SHRIRAM,ST (Woman)
486,ALWAR,LAXMANGARH,TALEDA,SC,RESHUM SINGH,SC
487,ALWAR,LAXMANGARH,ROUNPUR,SC (Woman),INDERJEET,SC (Woman)
488,ALWAR,MUNDAWAR,AJERKA,General,NIRMALA,OBC
489,ALWAR,MUNDAWAR,BALLUW AS,General,JAATA SINGH,OBC
490,ALWAR,MUNDAWAR,BASANI,General (Woman),SIDHRA TH,OBC (Woman)
491,ALWAR,MUNDAWAR,BAVDA,General (Woman),DHEER SINGH,OBC (Woman)
492,ALWAR,MUNDAWAR,BEHROJ,General,SIT ARAM,OBC
493,ALWAR,MUNDAWAR,BHANOT,General (Woman),VINOD KUMARI,OBC (Woman)
494,ALWAR,MUNDAWAR,BHUGEDAAHIR,SC,MOHEN LAL,SC
495,ALWAR,MUNDAWAR,BIJWAD CHOUHAN,ST,KALWANT,ST
496,ALWAR,MUNDAWAR,CHANDPUR,SC,MANJEET,SC
497,ALWAR,MUNDAWAR,DERBARPUR,OBC,KARMABANNO,OBC
498,ALWAR,MUNDAWAR,GADUVAS,General (Woman),RAMESH,OBC (Woman)
499,ALWAR,MUNDAWAR,GOPIPURA,General (Woman),AMANDEEP,OBC (Woman)
500,ALWAR,MUNDAWAR,HATUNDI,SC (Woman),KRISHAN SINGH,SC (Woman)
501,ALWAR,MUNDAWAR,JALAWAS,General (Woman),PAWANDEEP,OBC (Woman)
502,ALWAR,MUNDAWAR,JASAI,OBC,IKBAL SHAH,OBC
503,ALWAR,MUNDAWAR,JATBEHROD,General (Woman),MANJU,General (Woman)
504,ALWAR,MUNDAWAR,JINDOLI,General,KRISHNA DEVI,OBC
505,ALWAR,MUNDAWAR,KARNIKOT,General (Woman),KIRAN KUMAR,OBC (Woman)
506,ALWAR,MUNDAWAR,KHANPUR AHIR,OBC (Woman),SUMAN,OBC (Woman)
507,ALWAR,MUNDAWAR,MAINPUR,General,BHUPENDER SINGH,OBC
508,ALWAR,MUNDAWAR,MAJRIKHOLA,General (Woman),SHAKUNT ALA,General (Woman)
509,ALWAR,MUNDAWAR,MANKA,General (Woman),TARA CHAND,OBC (Woman)
510,ALWAR,MUNDAWAR,MATOR,General,LILADHAR,OBC
511,ALWAR,MUNDAWAR,MUNDANBADAKALAN,General (Woman),SARITA RANI,OBC (Woman)
512,ALWAR,MUNDAWAR,MUNDAWAR,OBC (Woman),RAJVEER KAUR,OBC (Woman)
513,ALWAR,MUNDAWAR,PALAWA,General,RAJENDER,OBC
514,ALWAR,MUNDAWAR,PEHAL,OBC (Woman),BHOOPSINGH,OBC (Woman)
515,ALWAR,MUNDAWAR,PIPLI,SC,MEERA,SC
516,ALWAR,MUNDAWAR,RAJW ADA,General (Woman),SHAKEELA,OBC (Woman)
517,ALWAR,MUNDAWAR,RANOTH,General,KRISHAN LAL,General
518,ALWAR,MUNDAWAR,RASGAN,General,BHAGWANTI DEVI,OBC
519,ALWAR,MUNDAWAR,SARAIKALAN,General,GEET A,OBC
520,ALWAR,MUNDAWAR,SHYAMDA,General (Woman),SAROJ,SC
521,ALWAR,MUNDAWAR,SHYOPUR,OBC,MUKUND SINGH,OBC
522,ALWAR,MUNDAWAR,SILGAON,OBC,KULVINDER KAUR,OBC
523,ALWAR,MUNDAWAR,SIY ALIKHURD,SC (Woman),RAMKUMAR,SC (Woman)
524,ALWAR,MUNDAWAR,SODAWAS,OBC (Woman),DEVKARAN,OBC (Woman)
525,ALWAR,MUNDAWAR,SORKHAKALAN,OBC,BHAWAR SINGH,OBC
526,ALWAR,MUNDAWAR,TATARPUR,General,SITA SHARMA,OBC
527,ALWAR,MUNDAWAR,ULADEDI,SC (Woman),KAILASHI DEVI,SC (Woman)
528,ALWAR,MUNDAWAR,Khareta,SC (Woman),VIMLA JAAT,SC (Woman)
529,ALWAR,MUNDAWAR,Nanglioza,SC,SUMAN,SC
530,ALWAR,MUNDAWAR,Badhin,SC,MANJU,SC
531,ALWAR,NEEMRANA,AKLIMPUR,SC (Woman),RAMPHOOL,SC (Woman)
532,ALWAR,NEEMRANA,BICHPURI,General (Woman),DHARMENDER,General (Woman)
533,ALWAR,NEEMRANA,DABARW AS,General (Woman),SUNIT A,OBC (Woman)
534,ALWAR,NEEMRANA,DAULA TSINGHPURA,General (Woman),JIVRAJ SINGH,OBC (Woman)
535,ALWAR,NEEMRANA,DOSOD,General (Woman),BANSHIDHAR,General (Woman)
536,ALWAR,NEEMRANA,DUMROLI,General (Woman),RAMNARAYAN,OBC (Woman)
537,ALWAR,NEEMRANA,GHILOT,General (Woman),MINAKSHI YADAV,General (Woman)
538,ALWAR,NEEMRANA,GIGLANA,SC (Woman),MUMTA YADAV,SC (Woman)
539,ALWAR,NEEMRANA,GUGALKOT A,OBC (Woman),MUKESH VERMA,OBC (Woman)
540,ALWAR,NEEMRANA,HUDIYAKALA,General,RAJU VERMA,OBC
541,ALWAR,NEEMRANA,JOUNAYACHAKHURD,General (Woman),MAYA DEVI,OBC (Woman)
542,ALWAR,NEEMRANA,JOUNCHAKALAN,General,DURGA LAL,General
543,ALWAR,NEEMRANA,KANHAWAS,General (Woman),SHABNUM BANNO,OBC (Woman)
544,ALWAR,NEEMRANA,KATHUWAS,OBC,DHARM PAL,OBC
545,ALWAR,NEEMRANA,KAYASA,General (Woman),MOOL CHAND,OBC (Woman)
546,ALWAR,NEEMRANA,KHUNDROTH,General,SUNIT A,OBC
547,ALWAR,NEEMRANA,KOLILA JOGA,SC,LALITA,SC
548,ALWAR,NEEMRANA,KUTINA,OBC (Woman),RAJNI,OBC (Woman)
549,ALWAR,NEEMRANA,MAJARA,OBC,SARITA,OBC
550,ALWAR,NEEMRANA,MANDHAN,General (Woman),SURENDER SINGH,OBC (Woman)
551,ALWAR,NEEMRANA,MANJRIKALA,General,SULTANA,OBC
552,ALWAR,NEEMRANA,MEHT ABAS,OBC,NIRMALA DEVI,OBC
553,ALWAR,NEEMRANA,NANAGW AS,General,ROHIT ASH,OBC
554,ALWAR,NEEMRANA,NEEMRANA,General,GOPAL RAM,General
555,ALWAR,NEEMRANA,PARTAPUR,OBC (Woman),MONIKA CHOUDHARY,OBC (Woman)
556,ALWAR,NEEMRANA,PHLODPUR,General,SAROJ,OBC
557,ALWAR,NEEMRANA,PRA T APSINGHPURA,General (Woman),ARTI BENIWAL,OBC (Woman)
558,ALWAR,NEEMRANA,REWANA,General,DAYA JANGID,OBC
559,ALWAR,NEEMRANA,RODW AL,SC,FARJANA BANO,SC
560,ALWAR,NEEMRANA,SANTO,General,POONUM,General
561,ALWAR,NEEMRANA,SHAHAJAHANPUR,SC,AMMI LAL,SC
562,ALWAR,NEEMRANA,SILARPUR,OBC,DAYA SINGH,OBC
563,ALWAR,NEEMRANA,SIRYANI,General,SURESH KUMAR,OBC
564,ALWAR,RAINI,BABELI,General,SURESH BHAMU,ST
565,ALWAR,RAINI,BAIRER,SC,SUDESH,SC
566,ALWAR,RAINI,BEHADKOKLA,General (Woman),FARIYAZ BANU,ST (Woman)
567,ALWAR,RAINI,BHAJEDA,General (Woman),MAHIP AL,General (Woman)
568,ALWAR,RAINI,BHUDA,General,SAVITRI ROLAN,ST
569,ALWAR,RAINI,BHULERI,General (Woman),BHISMILLAH,ST (Woman)
570,ALWAR,RAINI,BILET A,ST (Woman),MANISHA,ST (Woman)
571,ALWAR,RAINI,CHHILODI,General,MANOJ KUMAR,General
572,ALWAR,RAINI,DERA,ST (Woman),SOHAN LAL,ST (Woman)
573,ALWAR,RAINI,DOROLI,ST,RINKU KANWAR,ST
574,ALWAR,RAINI,GARISA W AIRAM,ST (Woman),SEEM AKUMARI,ST (Woman)
575,ALWAR,RAINI,ITOLI,OBC,JAGDEESH PRASAD,OBC
576,ALWAR,RAINI,JAMDOLI,SC (Woman),PANA MEGHWAL,SC (Woman)
577,ALWAR,RAINI,KANETI,General,GAYETRI KANWAR,General
578,ALWAR,RAINI,KILPURKHEDA,SC,SUMER DEVI,SC
579,ALWAR,RAINI,MACHADI,ST (Woman),BUDHV ARAM,ST (Woman)
580,ALWAR,RAINI,PADA,SC,SANJU,SC
581,ALWAR,RAINI,PATAN,SC (Woman),SATYA KUMAR,SC (Woman)
582,ALWAR,RAINI,PERVENI,General (Woman),MAHA VEER,ST
583,ALWAR,RAINI,PINAN,ST,NARESH,ST
584,ALWAR,RAINI,PRIYAGPURA,ST (Woman),PRIYANKA,ST (Woman)
585,ALWAR,RAINI,RAJPURCHHOT A,ST,SUNIL KUMAR,ST
586,ALWAR,RAINI,RAMPURA,General (Woman),MUMT A,ST (Woman)
587,ALWAR,RAINI,RENI,ST,KIRAN,ST
588,ALWAR,RAINI,SALOLI,General (Woman),JAGDESH,ST (Woman)
589,ALWAR,RAINI,TEHT ADA,ST,BIML A,ST
590,ALWAR,RAJGARH,ALALI,ST,MANISH URF MUKESH KANW AR,ST
591,ALWAR,RAJGARH,BALDEVGARH,General,RANVEER SINGH,General
592,ALWAR,RAJGARH,BHEJDA,ST (Woman),UDEY SINGH,ST (Woman)
593,ALWAR,RAJGARH,BIGHOT A,OBC,MANOHAR LAL,OBC
594,ALWAR,RAJGARH,DHAMRAID,General,GEETA DEVI,General
595,ALWAR,RAJGARH,DHIGAWADA,SC,BIML A,SC
596,ALWAR,RAJGARH,DUBBI,SC (Woman),POOJA,SC (Woman)
597,ALWAR,RAJGARH,FIROJPUR,SC,GEETA DEVI,SC
598,ALWAR,RAJGARH,GOLA KA BAS,General (Woman),SUMAN KUMARI,General
599,ALWAR,RAJGARH,KALESHAN,General (Woman),NARENDER,ST
600,ALWAR,RAJGARH,KHOH,ST,PRIYANKA DEVI,ST
601,ALWAR,RAJGARH,KUNDALA,ST,PAWAN,ST
602,ALWAR,RAJGARH,MALLANA,ST (Woman),ARJUN LAL,ST
603,ALWAR,RAJGARH,MOTIW ADA,General,SAVITRI,General
604,ALWAR,RAJGARH,NATHALWADA,ST,PUSHPA DEVI,ST
605,ALWAR,RAJGARH,NAYAGAONBOLKA,SC,ASHA BHAWARIYA,SC
606,ALWAR,RAJGARH,NIML A,ST (Woman),MUKKTI LAL,ST
607,ALWAR,RAJGARH,PALWA,General (Woman),MOOL CHAND,OBC
608,ALWAR,RAJGARH,PURANA RAJGARH,General,KHAYALI RAM,OBC
609,ALWAR,RAJGARH,RAJORGARH,ST (Woman),SUMAN DEVI,ST
610,ALWAR,RAJGARH,RAJPURBADA,General (Woman),RAMCHANDER SINGH,OBC
611,ALWAR,RAJGARH,SAKA T,General (Woman),SANJU,ST
612,ALWAR,RAJGARH,SHRICHANDPURA,General (Woman),SUMAN DEVI,ST
613,ALWAR,RAJGARH,SHYALUTA,General (Woman),OM PRAKASH,OBC
614,ALWAR,RAJGARH,SURERA,General (Woman),RAJNI,ST
615,ALWAR,RAJGARH,TALAB,General,DARA SINGH,OBC
616,ALWAR,RAJGARH,TEHLA,General,SHIV RAM,OBC
617,ALWAR,RAJGARH,THANA,General,HARI KRISHAN,ST
618,ALWAR,RAJGARH,TILWAD,ST,AGAR KANWAR,ST
619,ALWAR,RAJGARH,TODAJAISINGHPURA,SC (Woman),SEEMA,SC (Woman)
620,ALWAR,RAJGARH,DHIRODA,SC (Woman),RAHEMAT TULLA,SC
621,ALWAR,RAMGARH,ALAVADA,General (Woman),HARLAL,General (Woman)
622,ALWAR,RAMGARH,BAGADRAJPUT,General (Woman),SANJEY,OBC
623,ALWAR,RAMGARH,BAHALA,OBC (Woman),SANTU,OBC
624,ALWAR,RAMGARH,BAMBOLI,General,KARNI SINGH,OBC
625,ALWAR,RAMGARH,BHAJIT,General,BEBY,General
626,ALWAR,RAMGARH,BIJW A,General (Woman),MUGARAM,General (Woman)
627,ALWAR,RAMGARH,CASEROLI,OBC,MANA RAM,OBC
628,ALWAR,RAMGARH,CHIDAWA,General (Woman),HARURAM,OBC (Woman)
629,ALWAR,RAMGARH,CHOROTIP AHAD,General,SAWROOPI,SC
630,ALWAR,RAMGARH,CHOUMA,SC,SURESH,SC
631,ALWAR,RAMGARH,DABRI,OBC,KIRAN,OBC
632,ALWAR,RAMGARH,DESUL A,OBC,VIMLA PAWAR,OBC
633,ALWAR,RAMGARH,DHANET AGARI,OBC,PRABHU RAM,OBC (Woman)
634,ALWAR,RAMGARH,DOUHELI,General (Woman),SHUTTI,OBC
635,ALWAR,RAMGARH,GUNDPUR,General,DOLI URPH DALIYA,OBC
636,ALWAR,RAMGARH,HAJIPUR,General (Woman),BABU RAM,OBC (Woman)
637,ALWAR,RAMGARH,JATPUR,OBC,JHAMKU RAM,OBC
638,ALWAR,RAMGARH,KANKRALI,General (Woman),SANTOSH,OBC
639,ALWAR,RAMGARH,KHEDI,General,SAVITRI,OBC
640,ALWAR,RAMGARH,KHEDLI SAYEED,General (Woman),MANOHAR SINGH,OBC (Woman)
641,ALWAR,RAMGARH,KHILORA,General,BHARU SINGH,OBC
642,ALWAR,RAMGARH,KHOH,General,NARAYAN RAM,OBC
643,ALWAR,RAMGARH,KHUTET AKALAN,General,VIKRAMDITYA,OBC
644,ALWAR,RAMGARH,MILAKPUR,General,MAGHARAM,OBC
645,ALWAR,RAMGARH,MUBARIKPUR,General (Woman),BHAIRO RAM,OBC (Woman)
646,ALWAR,RAMGARH,NAGLIMEGHA,General (Woman),NEETA KANWAR,OBC (Woman)
647,ALWAR,RAMGARH,NANGLABANJIRKA,General,REKHA,OBC
648,ALWAR,RAMGARH,NIKACH,OBC (Woman),KEWAL RAM,OBC (Woman)
649,ALWAR,RAMGARH,NOUGAON,OBC (Woman),JITENDER,OBC
650,ALWAR,RAMGARH,PATA,General (Woman),ASHOK,General
651,ALWAR,RAMGARH,PIPRALI,General (Woman),DHANNI DEVI,OBC
652,ALWAR,RAMGARH,RAGHUNA THGARH,SC,JUBEDA,SC (Woman)
653,ALWAR,RAMGARH,RAMGARH,General,ALLI,General
654,ALWAR,RAMGARH,RASGAN,General,GUDDI,OBC
655,ALWAR,RAMGARH,SAHADOLI,SC,CHANDU DEVI,SC
656,ALWAR,RAMGARH,SAINTHLI,General (Woman),GUMANNA RAM,ST
657,ALWAR,RAMGARH,UTWAL,OBC (Woman),PRAMILLA,OBC
658,ALWAR,RAMGARH,Manupur,SC (Woman),PUSHPLATA,SC
659,ALWAR,RAMGARH,Tikari,SC,MENKA,SC
660,ALWAR,RAMGARH,Ghegholi,SC (Woman),IMMILAL,SC
661,ALWAR,RAMGARH,Lalavandi,SC (Woman),NASERDEEN,SC (Woman)
662,ALWAR,RAMGARH,Bagadmeva,ST,CHANDU MEGHWAL,ST
663,ALWAR,RAMGARH,Khohadakarmali,SC (Woman),PRATAP MANJU,SC
664,ALWAR,THANAGAZI,AAGAR,General (Woman),DROPDI,SC (Woman)
665,ALWAR,THANAGAZI,AJABGARH,ST,BHAWARI,ST
