ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,GramPanchayat,NominationTotalNoOfNominationFilled,NominationCandidate,ValidlyNominatedCandidate,Withdrawal,Unopposed,Contestants
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,15,JARGA,9,9,9,3,0,6
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,16,JHIL,17,17,16,11,0,5
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,17,KHANPURA,4,4,4,1,0,3
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,18,KHIDORA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,19,KUNKUTA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,20,MAHUGULAVALI,10,10,10,4,0,6
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,21,MEMODHAN,8,8,8,5,0,3
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,22,MUDIK,13,13,13,6,0,7
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,23,NIDHARA,8,8,8,4,0,4
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,24,PIPRON,13,13,13,7,0,6
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,25,RATANPUR,6,6,6,3,0,3
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,26,SALEMPUR,23,23,23,13,0,10
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,27,TAJPURA,5,5,5,2,0,3
General Election,JAN-MAR 2020,DHOLPUR,BASERI PANCHAYAT SAMITI,28,TIMASIYA,15,15,15,5,0,10
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,1,AAMJHARA,24,24,24,9,0,15
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,2,AODABADA,9,9,9,2,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,3,ASIYANVAV,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,4,BAROTHI,14,14,14,5,0,9
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,5,BHEHANA,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,6,BICHHIWARA,10,10,10,4,0,6
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,7,BILAPAN,8,8,8,0,0,8
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,8,BOKHALA,10,10,10,4,0,6
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,9,CHHAPI,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,10,CHUNDAWADA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,11,DHAMALAT PHALA,11,11,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,12,DHAMOD,16,16,16,4,0,12
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,13,GAID,17,17,17,4,0,13
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,14,GALANDER,11,11,11,3,0,8
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,15,GAMDI AAHADA,7,7,7,3,0,4
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,16,JALUKUA,18,18,17,3,0,14
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,17,JELANA,16,16,15,4,0,11
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,18,JHINJHVA,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,19,KANBA,9,9,9,4,0,5
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,20,KARHEL MATA,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,21,KAROLI,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,22,KAVALIYADARA,15,15,15,6,0,9
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,23,KHAJURI,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,24,LAMBABHATADA,13,13,13,5,0,8
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,25,MAHIPALPUR,9,9,9,3,0,6
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,26,MALMATHA,17,17,17,8,0,9
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,27,MEWADA,14,14,14,4,0,10
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,28,MODAR,8,8,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,29,NARELLI,7,7,7,3,0,4
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,30,NAWAL SHYAM,20,20,20,9,0,11
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,31,PADRADI,8,8,8,1,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,32,PALISODA,8,8,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,33,PALPADAR,6,6,6,4,0,2
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,34,PANCH MAHUDI,11,11,11,2,0,9
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,35,RAMPUR MEWADA,13,13,13,6,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,36,SABLI,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,37,SANCHIYA,12,12,12,4,0,8
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,38,SERAVADA,19,19,19,4,0,15
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,39,SHARAM,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,40,SHISHOD,18,18,18,6,0,12
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,41,TELIYA,12,12,12,4,0,8
General Election,JAN-MAR 2020,DUNGARPUR,BICHIWARA PANCHAYAT SAMITI,42,VEERPUR,9,9,9,1,0,8
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,1,AAMLI,15,14,14,6,0,8
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,2,ARNIYA,6,6,5,3,0,2
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,3,BHARAK,8,8,8,3,0,5
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,4,BHUNAS,11,11,11,8,0,3
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,5,CHAVANDIYA,15,15,15,6,0,9
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,6,CHHEDKHERA,10,10,10,4,0,6
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,7,DELANA,3,3,3,0,0,3
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,8,DHOSAR,15,15,15,3,0,12
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,9,GANESHPURA,5,5,5,2,0,3
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,10,GOVLIYA,8,8,8,4,0,4
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,11,KANGANI,16,16,16,6,0,10
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,12,KHAKHLA,7,7,7,4,0,3
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,13,KOSHITHAL,4,4,4,3,1,0
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,14,LAKOHLA,4,4,4,0,0,4
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,15,MAHENDRAGARH,6,6,6,1,0,5
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,16,MAJHAWAS,7,7,7,5,0,2
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,17,NAGEDIYAKHEDA,11,11,11,4,0,7
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,18,NANDSHA,6,6,6,4,0,2
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,19,POTLA,13,13,13,6,0,7
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,20,SAHADA,10,10,10,2,0,8
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,21,SALERA,15,15,15,6,0,9
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,22,SARGAON,12,12,12,5,0,7
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,23,SATLIYAS,18,18,18,10,0,8
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,24,SHIVRATI,18,18,17,8,0,9
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,25,SONIYANA,11,11,11,3,0,8
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,26,SURAWAS,8,8,8,1,0,7
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,27,ULLAI,10,10,9,4,0,5
General Election,JAN-MAR 2020,BHILWARA,SAHARA PANCHAYAT SAMITI,28,UMMEDPURA,7,7,7,2,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,1,BAIGOD,16,15,15,7,0,8
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,2,BARUNDANI,17,17,16,2,0,14
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,3,BIKARAN,8,8,8,3,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,4,DHAKARKHEDI,5,5,5,4,1,0
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,5,DHAMANIA,9,9,9,3,0,6
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,6,DOLATPAURA,11,11,11,1,0,10
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,7,JALIYA,12,12,12,5,0,7
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,8,JASSUJI KA KHEDA,9,9,9,4,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,9,JHANJHOLA,7,7,7,2,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,10,JOJAWA,13,13,12,3,0,9
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,11,KACHHOLA,15,15,15,1,0,14
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,12,KALYANPURA,10,10,10,2,0,8
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,13,KHACHROL,10,10,10,2,0,8
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,14,KHATWADA,8,8,8,4,0,4
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,15,LADPURA,13,13,13,8,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,16,MAHUA,19,19,19,3,0,16
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,17,MANPURA,10,10,10,2,0,8
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,18,MOHANPURA,10,10,10,3,0,7
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,19,MOTROKA KHEDA,9,9,9,4,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,20,MUKUNPURIA,9,9,9,2,0,7
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,21,RAJGARH,11,11,11,4,0,7
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,22,RALAYATA,7,7,7,2,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,23,SARANA,4,4,4,2,0,2
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,24,SARTHALA,16,16,15,3,0,12
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,25,SHRINAGAR,6,6,5,1,0,4
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,26,SHYAMGARH,11,11,11,1,0,10
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,27,SINGOLI,17,17,17,9,0,8
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,28,SURAS,8,8,8,2,0,6
General Election,JAN-MAR 2020,BHILWARA,MANDALGARH PANCHAYAT SAMITI,29,THALKALAN,5,5,5,3,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,1,BANDHALA,9,9,9,4,0,5
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,2,BANDHDA,4,4,4,2,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,3,BHADLA,16,16,16,10,0,6
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,4,BHAMTSAR,6,6,6,4,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,5,CHITANA,12,12,12,6,0,6
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,6,DAVA,5,4,4,2,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,7,DESALSAR,15,15,15,6,0,9
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,8,DHARNOK,11,11,11,7,0,4
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,9,DHINGSARI,12,12,12,5,0,7
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,10,HANSASAR,8,8,8,5,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,11,JAGLPNNA DAROGA,8,8,7,4,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,12,JAISINGHDESARMAGRA,8,8,7,4,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,13,JANGLU,10,10,10,6,0,4
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,14,KAHIRA,6,6,6,4,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,15,KAKKU,9,9,9,5,0,4
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,16,KANVALISAR,9,9,8,3,0,5
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,17,KEDLI,11,10,10,4,0,6
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,18,KISNASAR,8,8,7,3,0,4
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,19,KUDASU,8,8,8,3,0,5
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,20,NATHUSAR,7,7,7,4,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,21,PANCHU,10,10,10,2,0,8
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,22,PARVA,23,23,23,14,0,9
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,23,PITHARASAR,9,9,9,6,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,24,RASISAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,25,RASISAR BAS PUROHITAN,9,9,9,4,0,5
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,26,RATADIYA,10,10,10,7,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,27,SADHUNA,8,8,8,3,0,5
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,28,SAISAR,13,13,13,6,0,7
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,29,SARUNDA,11,11,11,5,0,6
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,30,SHOBHANA,6,6,6,4,0,2
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,31,SILAVA,6,6,6,3,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,32,SWARUPSAR,8,8,8,5,0,3
General Election,JAN-MAR 2020,BIKANER,PANCHU PANCHAYAT SAMITI,33,UDASAR,8,8,8,5,0,3
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,1,AKTASA,4,4,4,2,0,2
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,2,ALPHA NAGAR,6,6,6,0,0,6
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,3,BADUNDA,9,9,7,0,0,7
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,4,BAJAD,17,17,14,6,0,8
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,5,BALLOP,8,8,8,0,0,8
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,6,BARUDHAN,17,17,17,5,0,12
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,7,BUDHPURA,14,14,14,1,0,13
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,8,DABI,4,4,4,0,0,4
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,9,DEHIT,4,4,4,1,0,3
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,10,DELUNDA,5,5,4,1,0,3
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,11,DHANESHWAR,16,16,16,6,0,10
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,12,DORA,3,3,3,1,0,2
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,13,GAMACH,5,5,5,2,0,3
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,14,GANESHPURA,7,7,7,3,0,4
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,15,GOPALPURA BARAD,10,10,10,5,0,5
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,16,JAMEETPURA,14,14,13,6,0,7
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,17,JAMKHMUND,11,11,11,3,0,8
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,18,JAWAHAR SAGAR,4,4,4,1,0,3
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,19,KAITHUNDA,19,19,19,4,0,15
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,20,KHADIPURA,4,4,4,0,0,4
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,21,LADPUR,16,16,15,6,0,9
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,22,LAKSHMIPURA,9,9,9,0,0,9
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,23,LAMBAKHOH,8,8,8,5,0,3
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,24,LILEDA VIYASAN,5,5,5,1,0,4
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,25,NOTADA,10,10,9,3,0,6
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,26,RAGHUNATHPURA,14,14,13,2,0,11
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,27,RAJPURA,12,12,12,3,0,9
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,28,SEENTA,7,6,6,1,0,5
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,29,SUNWASA,6,6,6,2,0,4
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,30,SUTADA,10,10,10,5,0,5
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,31,TALEDA,17,17,17,4,0,13
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,32,TEERATH,5,5,5,1,0,4
General Election,JAN-MAR 2020,BUNDI,TALERA PANCHAYAT SAMITI,33,THIKARIYA CHARAN,7,7,7,2,0,5
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,1,AALMAS,13,13,13,4,0,9
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,2,AMARGARH,18,18,18,9,0,9
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,3,BAVALAS,9,9,9,5,0,4
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,4,BHAVWAS,2,2,2,0,0,2
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,5,JORAWARPURA,10,10,10,4,0,6
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,6,LESWA,7,7,7,3,0,4
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,7,SEEDIYAS,8,8,8,4,0,4
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,8,SURAS,6,6,6,3,0,3
General Election,JAN-MAR 2020,BHILWARA,MANDAL PANCHAYAT SAMITI,9,TAHUNKA,15,15,15,6,0,9
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,1,AANKHISAR,6,6,6,3,0,3
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,2,BADNU,10,10,10,5,0,5
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,3,BAGSEU,12,12,12,7,0,5
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,4,BERASAR,16,16,16,9,0,7
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,5,BIKASAR,9,9,9,5,0,4
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,6,BILNIYASAR,23,23,23,14,0,9
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,7,BIRAMSAR,8,8,8,5,0,3
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,8,CHARKDA,8,8,8,4,0,4
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,9,DHUPALIYA,9,9,9,6,0,3
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,10,GAJRUPDESAR,6,6,6,4,0,2
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,11,GAJSUKHDESAR,8,8,8,6,0,2
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,12,GONDUSAR,17,17,16,11,0,5
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,13,HIMMATSAR,10,10,10,8,0,2
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,14,HINYADESAR,6,6,6,2,0,4
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,15,JAISALSAR,9,9,9,4,0,5
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,16,JASRASAR,11,11,11,4,0,7
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,17,JHADELI,13,13,13,6,0,7
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,18,KAKDA,17,17,17,9,0,8
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,19,KUCHOR ANGUNI,11,11,11,5,0,6
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,20,KUCHOR ATHUNI,10,10,10,6,0,4
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,21,KUKANIYA,7,7,7,3,0,4
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,22,LALAMDESAR BADA,13,11,11,6,0,5
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,23,LALAMDESAR CHOTA,4,4,4,2,0,2
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,24,LALASAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,25,MADIYA,6,6,6,4,0,2
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,26,MAINSAR,8,8,8,5,0,3
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,27,MANSURI,11,11,11,5,0,6
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,28,MORKHANA,14,14,14,9,0,5
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,29,MUKAM,12,12,12,6,0,6
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,30,NOKHA GAON,7,7,7,4,0,3
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,31,RAISAR,9,9,9,5,0,4
General Election,JAN-MAR 2020,BIKANER,NOKHA PANCHAYAT SAMITI,32,RODA,7,7,7,3,0,4
