ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,NameOfGramPanchyat,CategoryOfGramPanchyat,TotalNoOfContestingCandidate,ElectedUnoppose,TotalElectorateVotes,TotalPolledVotes,RejectedVotes,TotalValidVotes,PollPercent,WinnerCandidateName,ViewPledge,VoteSecureByWinner,RunnerupCandidateName,VoteSecureByRunnerup,TotalNoOfNOTACount,TenderedVotes
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,12,Kharsanki,OBC,4,NO,2608,2416,0,2416,92.64,BARKATI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P46P21PM.pdf,996,PRAKASH CHAND SAINI,623,18,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,13,Khedamahmud,General (Woman),10,NO,3487,3053,0,3053,87.55,RADHA KUMARI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P21P37PM.pdf,789,ANISHA,684,7,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,14,Malpur,General,2,NO,3146,2786,0,2786,88.56,JAGDISH PRASAD SHARMA,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20222P55P05PM.pdf,1735,HEERA LAL,1043,8,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,15,Maulia,General,9,NO,4589,4188,0,4188,91.26,OMPRAKASH,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P46P41PM.pdf,1366,SHISH RAM,809,18,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,16,Nasvari,General,5,NO,3222,2862,0,2862,88.83,ANWAR KHAN,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P51P13PM.pdf,1493,HARIOM,1296,33,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,17,Nizamnagar,SC,5,NO,3625,3276,0,3276,90.37,AMAR SINGH,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P51P27PM.pdf,1030,LAXMAN SINGH,801,17,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,18,Nyana,General (Woman),4,NO,2596,2260,0,2260,87.06,RAMESHWATI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P21P03PM.pdf,803,SHASHIBALA,686,6,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,19,Rambas,General (Woman),5,NO,4434,3843,0,3843,86.67,BHOTI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20222P54P47PM.pdf,1631,OMVATI,894,23,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,20,Ronpur,ST,4,NO,3322,2863,0,2863,86.18,KAMAL KANT MEENA,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P39P40PM.pdf,1194,SURESH CHAND MEENA,837,15,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,21,Saidampur,OBC,4,NO,2992,2688,0,2688,89.84,KALLO DEVI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P17P30PM.pdf,939,NASRI,861,6,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,22,Samlakhurd,General,10,NO,1958,1795,0,1795,91.68,AASAF ALI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P39P27PM.pdf,548,AKRAM,511,6,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,23,Shitla,SC (Woman),3,NO,2698,2318,0,2318,85.92,MAYA DEVI,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P39P13PM.pdf,1026,SANTRA,850,13,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,24,Talada,OBC (Woman),2,NO,2934,2730,0,2730,93.05,SUNITA,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P39P00PM.pdf,1447,KAMLA DEVI,1262,21,0
General Election,JAN-MAR 2020,ALWAR,GOVINDGARH PANCHAYAT SAMITI,25,Tilwad,OBC (Woman),2,NO,4052,3406,0,3406,84.06,PARVIN,https://sec.rajasthan.gov.in/Nominations/297_SARPANCH_EROGOVNG1_2K10K20223P38P48PM.pdf,2079,SANNO BAI,1306,21,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,14,HASANPUR MAFI,General,3,NO,3540,3252,0,3252,91.86,SAMSUDEEN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P21P27PM.pdf,1331,WALI MOHAMMAD,1030,25,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,15,HINGWAHEDA,General (Woman),5,NO,4525,3764,0,3764,83.18,SURESH KUMARI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P39P49PM.pdf,1573,SURESH,1271,42,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,16,ISRODA,OBC,4,NO,3750,3336,0,3336,88.96,RATIRAM YADAV,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P22P22PM.pdf,1443,NARPAL SINGH YADAV,1044,17,1
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,17,JAIROLI,General,4,NO,3241,2846,0,2846,87.81,RASID,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P22P47PM.pdf,1309,RAHIL,866,6,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,18,JHIWANA,General,4,NO,3829,3349,0,3349,87.46,SOKAT,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P41P50PM.pdf,1274,RAJENDRA,1080,10,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,19,Jojaka,OBC (Woman),7,NO,3819,3486,0,3486,91.28,ABIDA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P33P15PM.pdf,1068,BASKARI,1034,27,1
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,20,JOJDIYA,General,4,NO,1911,1865,0,1865,97.59,RATIMAN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P23P42PM.pdf,532,AFRIN,487,7,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,21,Kamalpura,OBC,5,NO,3551,3203,0,3203,90.2,MUSTAK,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P49P17PM.pdf,1179,MANTRI YADAV,1017,12,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,22,KARENDA,OBC,5,NO,3734,3438,0,3438,92.07,NISHANT KHAN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P24P03PM.pdf,1148,IRFAN KHAN,894,17,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,23,Khalilpuri,OBC (Woman),8,NO,3311,2867,0,2867,86.59,BIRMATI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P46P19PM.pdf,844,SARMINA,796,14,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,24,KHIDERPUR,General (Woman),7,NO,4668,4250,0,4250,91.05,KAILASH DEVI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P24P23PM.pdf,958,SUNITA,741,23,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,25,LUHADERA,General,7,NO,3001,2715,0,2715,90.47,BHEEM SINGH,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P25P30PM.pdf,921,OMPAL,823,15,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,26,MAHESARA,General (Woman),8,NO,3975,3521,0,3521,88.58,KARISHMA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P45P00PM.pdf,1181,SHANTI,623,14,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,27,Maliyar Jatt,General,8,NO,3324,3029,0,3029,91.13,ISAK,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P35P40PM.pdf,1216,PRITAM SINGH,1066,0,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,28,MASIT,General (Woman),8,NO,2987,2728,0,2728,91.33,RAJBALA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P04P04PM.pdf,711,POONAM,550,0,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,29,MAYAPUR,General (Woman),5,NO,3049,2887,0,2887,94.69,JAITUNI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P25P45PM.pdf,1054,VASIMA,594,9,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,30,MILAKPUR TURK,General (Woman),4,NO,3043,2761,0,2761,90.73,SAHILA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P26P03PM.pdf,990,SALMA BANO,837,15,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,31,Mithiyawas,OBC (Woman),8,NO,3477,3156,0,3156,90.77,TAHIRA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P40P14PM.pdf,728,FAHIMAN,600,11,1
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,32,MUNDANA,General,5,NO,3579,3174,0,3174,88.68,DEEPAK KUMAR,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P31P45PM.pdf,1632,AJIT SINGH,1505,8,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,33,Nakhnaul,SC (Woman),3,NO,2787,2552,0,2552,91.57,PREM,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P51P25PM.pdf,1077,SUNITA,1014,11,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,34,Nimbaheda,OBC,3,NO,3587,3380,0,3380,94.23,AARIF HUSAIN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P33P49PM.pdf,1440,JUNED,1244,20,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,35,PALPUR,General,4,NO,3623,3400,0,3400,93.84,AKARAM,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P48P01PM.pdf,1867,TOFIK KHAN,1469,11,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,36,PULLABAS,General (Woman),3,NO,2982,2710,0,2710,90.88,FARJANA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P35P04PM.pdf,1238,PINKI TANWAR,964,20,2
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,37,RABHANA,General,7,NO,3380,3061,0,3061,90.56,HUSAIN KHAN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P26P28PM.pdf,871,IRSHAD,846,27,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,38,RAIKHEDA,General,9,NO,4229,3578,0,3578,84.61,VIKARAM,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P32P31PM.pdf,788,AMARJEET,725,6,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,39,ROOPBAS,General (Woman),2,NO,4114,3711,0,3711,90.2,KHATIJA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P26P52PM.pdf,2007,SEHNAZ,1684,20,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,40,SALARPUR,General (Woman),4,NO,3612,3049,0,3049,84.41,SUNITA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P39P23PM.pdf,1224,MUKESH DEVI,1078,4,1
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,41,Sarekalan,OBC (Woman),6,NO,2941,2665,0,2665,90.62,AKBARI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P34P24PM.pdf,862,SAHUNI,640,12,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,42,SERHETA,General,7,NO,3683,3345,0,3345,90.82,BURHAN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P28P17PM.pdf,1002,SAHUN,874,22,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,43,SHAHBAD,General,8,NO,4691,3957,0,3957,84.35,RAMNIWAS,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20225P43P20PM.pdf,1303,DHARMENDAR,1055,11,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,44,TAPUKEDA,General (Woman),7,NO,6609,5443,0,5443,82.36,VIJAY LAXMI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P28P31PM.pdf,2248,SAVITA,2001,35,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,45,Tatarpura,SC,4,NO,2682,2302,0,2302,85.83,ROKI,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K3K20222P37P54PM.pdf,1260,REKHA,889,21,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,46,Thada,SC,5,NO,4257,2969,0,2969,69.74,SATYNARNAYAN,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P29P02PM.pdf,1000,SATYVEER,918,46,0
General Election,JAN-MAR 2020,ALWAR,TIJARA PANCHAYAT SAMITI,47,VIRAMPUR,General (Woman),8,NO,4094,3668,0,3668,89.59,MANJU KALA,https://sec.rajasthan.gov.in/Nominations/21_SARPANCH_erotija1_3K4K20224P28P49PM.pdf,947,PRIYANKA,875,11,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,1,BAMANWAS,General (Woman),12,NO,2370,2104,0,2104,88.78,BABITA,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P18P00PM.pdf,386,BABLI DEVI,320,12,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,2,BANSUR,General (Woman),26,NO,17611,13054,0,13054,74.12,NEETA DEVI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20222P16P40PM.pdf,1763,SHARDA,1684,67,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,3,BAWARIA,General (Woman),9,NO,4819,4192,0,4192,86.99,MANJU,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P17P01PM.pdf,1088,ANITA,714,32,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,4,Burja,SC,6,NO,2560,2081,0,2081,81.29,KABUL CHAND,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20222P23P48PM.pdf,743,VIRENDRA VERMA,434,12,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,5,CHULA,General (Woman),6,NO,3740,3203,0,3203,85.64,SAROJ,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20222P19P11PM.pdf,989,MEWA,751,13,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,6,GUNTA,General,9,NO,3145,2591,0,2591,82.38,INDRAJ,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P05P30PM.pdf,863,BABULAL YADAV,465,18,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,7,HARSAURA,General (Woman),6,NO,4578,3815,0,3815,83.33,DHOLI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20222P20P42PM.pdf,2120,GEETA DEVI,1338,40,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,8,HAZIPUR,General,5,NO,4852,3887,0,3887,80.11,ROSHNI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P13P44PM.pdf,1777,RAJVEER SINGH YADAV,1268,78,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,9,HOLABAS,General,7,NO,4533,3928,0,3928,86.65,SATYAPAL SINGH JAT,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P08P12PM.pdf,1269,KHYALI RAM,599,15,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,10,Indrada,OBC,11,NO,2461,2049,0,2049,83.26,KRISHAN KUMAR SWAMI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P15P57PM.pdf,845,JITRAM,421,14,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,11,Kishorpura,SC,5,NO,2747,2499,0,2499,90.97,RAJENDRA,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P06P53PM.pdf,1070,SUNDER LAL,750,5,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,12,KOHARI,General,8,NO,3007,2573,0,2573,85.57,SHRIRAM,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20223P57P23PM.pdf,815,SURESH CHAND YADAV,489,9,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,13,MEHANPUR,General,10,NO,5030,4301,0,4301,85.51,DAYA DEVI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20222P42P42PM.pdf,818,MITHLESH DEVI,783,30,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,14,MOTHUKA,General (Woman),13,NO,4425,3648,0,3648,82.44,HANSHA CHOUDHARY,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P14P48PM.pdf,787,NEETU DEVI,675,17,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,15,NAYABAS,General (Woman),4,NO,4194,3319,0,3319,79.14,RAMESHWARI DEVI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20222P55P26PM.pdf,1496,DEEPIKA,1056,19,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,16,Rasnali,OBC,10,NO,2767,2516,0,2516,90.93,GENDA RAM,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20223P59P39PM.pdf,712,HEMRAJ,429,16,0
General Election,JAN-MAR 2020,ALWAR,BANSUR PANCHAYAT SAMITI,17,Turana,ST (Woman),8,NO,1869,1634,0,1634,87.43,MINAKSHI,https://sec.rajasthan.gov.in/Nominations/9_SARPANCH_EROBANS1_3K2K20224P03P06PM.pdf,541,BIMLA DEVI,503,13,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,1,ADOLI,General (Woman),13,NO,2928,2482,0,2482,84.77,RATNI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K4K202210P49P15AM.pdf,439,GULAB DEVI,399,7,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,2,ARURWA,OBC (Woman),4,NO,3835,3458,0,3458,90.17,SEEMA DEVI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P57P26PM.pdf,1484,BHAGWATI,1351,13,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,3,BADODAKAN,General,5,NO,3526,3023,0,3023,85.73,BIRMA,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P57P55PM.pdf,1303,RAMESH,1154,10,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,4,BASETH,General (Woman),8,NO,3803,3110,0,3110,81.78,RAJENDRA DEVI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P58P25PM.pdf,1122,GULAB DEVI,604,22,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,5,BEHRAMPUR,ST (Woman),13,NO,2826,2285,0,2285,80.86,INDRAWATI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K4K20222P26P36PM.pdf,681,NITU,329,6,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,6,BEHTUKALA,General,7,NO,4351,3698,0,3698,84.99,RAMCHARAN,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P58P15PM.pdf,1060,BALVEER SINGH,693,13,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,7,Berka,General,7,NO,3666,3194,0,3194,87.12,KALLURAM,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P08P07PM.pdf,860,DEVENDRA SINGH,653,18,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,8,BHANOKHER,SC (Woman),11,NO,3743,2518,0,2518,67.27,POOJA DEVI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P58P55PM.pdf,958,OMVATI,615,11,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,9,DANTIYA,SC,12,NO,3606,2857,0,2857,79.23,JORMAL,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P59P14PM.pdf,812,KOMAL NIVERIYA,604,22,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,10,DARODA,ST,7,NO,3820,3118,0,3118,81.62,MAN SINGH,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P59P07PM.pdf,787,GHESOLIRAM,772,23,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,11,DOROLI,OBC,5,NO,3603,2977,0,2977,82.63,UMEDILAL,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P02P17PM.pdf,1383,BADRI,936,10,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,12,GARO,General,6,NO,4196,3688,0,3688,87.89,RAJESH,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P59P31PM.pdf,1343,HARIOM,1035,30,4
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,13,Indra Colony,SC,10,NO,2596,2323,0,2323,89.48,BANWARILAL,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K202212P59P45PM.pdf,867,BHAGWAN SINGH,756,2,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,14,ISROTA,General (Woman),8,NO,4417,3832,0,3832,86.76,REKHA,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P00P01PM.pdf,937,KESULI,824,29,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,15,JADLA,SC (Woman),8,NO,3515,2855,0,2855,81.22,POOJA BAI JATAV,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K4K202210P50P26AM.pdf,1395,REKHA KUMARI,619,29,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,16,JAHADU,General (Woman),12,NO,3873,3313,0,3313,85.54,DHAPALI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P02P41PM.pdf,579,BHORI,528,10,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,17,JATWADA,General (Woman),16,NO,3396,2773,0,2773,81.65,NITESH KUMARI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P02P51PM.pdf,880,DIVYA,657,14,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,18,KALWADI,ST,13,NO,4192,3448,0,3448,82.25,RAMESH CHAND,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P03P03PM.pdf,936,HARIKISHAN MEENA,797,14,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,19,KATHUMAR,General,2,NO,6541,5305,0,5305,81.1,SHERSINGH MEENA,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P03P12PM.pdf,2647,SHYAM LAL,2579,79,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,20,KHEDA KALYANPURA,ST (Woman),6,NO,3372,2655,0,2655,78.74,MAMTA BAI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P03P23PM.pdf,1102,URMILA,554,13,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,21,KHEDAMEDA,SC (Woman),7,NO,4712,3799,0,3799,80.62,TARA DEVI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P03P36PM.pdf,1429,RAJNI DEVI,1160,40,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,22,KHEDLIRAIL,General,19,NO,4737,3798,0,3798,80.18,PRASHANT SINGH,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P03P47PM.pdf,953,VIJAY SINGH,482,11,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,23,KHOH,SC (Woman),15,NO,3294,2394,0,2394,72.68,REKHA DEVI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P03P59PM.pdf,946,TARA BAI,228,6,0
General Election,JAN-MAR 2020,ALWAR,KATHUMAR PANCHAYAT SAMITI,24,KHONKHER,SC (Woman),8,NO,3047,2235,0,2235,73.35,SHANTI,https://sec.rajasthan.gov.in/Nominations/11_SARPANCH_EROKATH1_3K2K20221P04P09PM.pdf,943,SHANTI,556,11,0
