year,ward_no,serial,candidate,party,party_local,votes,electorate,valid_votes,source_path
2012,17,9,Soma Raju Ujagare,all india krantikari congress,all india krantikari congress,74,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,18,1,Sachin Ghag,NCP,nationalist congress party,4030,53789,25148,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,18,2,Sanjay Vasant Kavatkar,MNS,Maharashtra Navnirman Sena,5936,53789,25148,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,18,3,Kavthankar Shrikant Krushna,SS,shivsena,11158,53789,25148,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,18,4,Jitendra Nagvekar,IND,Apaksh,1327,53789,25148,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,18,5,Sadashiv (Sadabhau) Pariskar,IND,Apaksh,2697,53789,25148,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,19,1,Supriya Rajan Nikam,BJP,bjp,5186,44696,18669,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,19,2,Patil Neha Vinayak,INC,Indian National Congress,6160,44696,18669,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,19,3,Dipika Ravindra Pawar,MNS,Maharashtra Navnirman Sena,1804,44696,18669,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,19,4,Manisha Kamlesh Yadav,Samajvadi Party,Samajvadi Party,5519,44696,18669,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,1,Rahul Gandhi,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,545,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,2,Girkar Shaileja Vijay,BJP,bjp,13326,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,3,Kothari Pradeep Gunvantlal,INC,Indian National Congress,4816,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,4,Mehta Mayur Harshadbhai,IND,Apaksh,243,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,5,Parab Janardan Sadanand,IND,Apaksh,46,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,6,Shinde Sudesh Shankerrav,IND,Apaksh,223,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,20,7,Chetan Bhagvan Thakur,MNS,Maharashtra Navnirman Sena,4436,54490,23635,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,21,1,Santosh Mahadev Bhaye,IND,Apaksh,387,43544,19039,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,21,2,Rajesh Amrut Desai,MNS,Maharashtra Navnirman Sena,4683,43544,19039,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,21,3,Ramashish Gupta,INC,Indian National Congress,6496,43544,19039,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,21,4,Ravindra Hatim,IND,Apaksh,1072,43544,19039,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,21,5,Rajesh Kisan Manjal,IND,Apaksh,557,43544,19039,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,21,6,Jagdish Patel,BJP,bjp,5844,43544,19039,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,22,1,Jangam Madhuri,IND,Apaksh,530,32486,15834,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,22,2,Sangita Sanjay Jangam,IND,Apaksh,3660,32486,15834,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,22,3,Majre Versha Vijay,MNS,Maharashtra Navnirman Sena,2363,32486,15834,data/maharashtra/mumbai/2012_scanned_data.xlsx
