year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,20,VIJAYSHANKAR LALJI YADAV,BSP,Bahujan Samaj Party,100,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,Fatehmohammed Mohammedraza ShaikhMansuri,IND,Independent,82,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,MaqsoodAlam SirajulHaq Usmani,IND,Independent,65,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,KRISHNA RAVINDRA MISHRA,IND,Independent,43,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,ANIL HARISHCHANDRA KOKANE,Republican Party of India (A),Republican Party of India (A),9,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,NOTA,,,184,,data/maharashtra/mumbai/mumbai_2017.csv
2017,21,Shailaja Vijay Girkar,BJP,Bhartiya Janata Party,15344,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,21,JAYASHREE ANIL MISTRY,SS,Shivsena,5000,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,21,Minakshi Jayesh Bhandari,INC,Indian National Congress,2364,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,21,SEEMA PRADEEP KULKARNI,MNS,Maharashtra Navnirman Sena,768,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,21,NOTA,,,442,,data/maharashtra/mumbai/mumbai_2017.csv
2017,22,Priyanka Prafull More,BJP,Bhartiya Janata Party,14570,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,22,SUVARNA SUBHASH PRASADE,SS,Shivsena,4313,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,22,NILAM VISHAL MADHALE,INC,Indian National Congress,2624,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,22,POOJA KUNAL MANWACHARYA,NCP,Nationalist Congress Party,1183,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,22,PAYAL PANDURANG GHADI,MNS,Maharashtra Navnirman Sena,806,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,22,NOTA,,,461,,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,SHIVKUMAR BASUKINATH JHA,BJP,Bhartiya Janata Party,7197,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,SHIVSAHAY HANUMANPRASAD SINGH,INC,Indian National Congress,4567,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,Ashok Vasudev Sawant,SS,Shivsena,4070,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,Sanjay Nagindas Patel,IND,Independent,1064,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,RAGHVENDRA BALIRAJ MISHRA,IND,Independent,1057,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,Jitendra Satyanarayan Singh,IND,Independent,841,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,SANTOSH RAMAKANT JHA,IND,Independent,556,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,GAJANAN SHANTARAM SALVI,MNS,Maharashtra Navnirman Sena,299,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,TILAKKUMAR RAMNARESH CHAUDHARI,IND,Independent,262,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,KISHOR DHONDU CHAVAN,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,235,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,ATMARAM SHYAMNARAYAN DUBEY,IND,Independent,210,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,RAGHUNATH BABAN JADHAV,IND,Independent,190,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,HUSSAIN ABBASALI KHAN,BSP,Bahujan Samaj Party,145,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,Deepak Mahadev Bandivadekar,IND,Independent,126,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,ravindranath _________ dubey,SP,Samajwadi Party,116,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,KRISHNAKANT KAILASHNATH PANDEY,IND,Independent,89,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,SANTOSH ASHOK PANDEY,IND,Independent,85,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,RAJESH NARAYAN AMBHORE,IND,Independent,68,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,PRAMOD JANARDHAN RANAWARE,NCP,Nationalist Congress Party,67,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,AmarPratap Shambhunath Singh,IND,Independent,26,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,23,NOTA,,,180,,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,Sunita Ramnagina Yadav,BJP,Bhartiya Janata Party,10144,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,Prajakta Vikas Sawant-Vishwasrao,SS,Shivsena,5435,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,PUSHPA SANJAY JHA,INC,Indian National Congress,1167,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,Aarti Vinod Pawar,MNS,Maharashtra Navnirman Sena,918,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,Savita Sudesh Nag,IND,Independent,570,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,MANORAMA RAKESH JHA,IND,Independent,419,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,24,SARITA MAHENDRA VISHWAKARMA,IND,Independent,336,7,data/maharashtra/mumbai/mumbai_2017.csv
