year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,180,Sabika Mohd Hasan Qureshi,NCP,Nationalist Congress Party,559,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,180,Shamshad Adam Qureshi,IND,Independent,369,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,180,AARTI MANGESH PATIL,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,243,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,180,Shweta Deepak Kokate,IND,Independent,201,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,180,NOTA,,,430,,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,PUSHPA KRISHNA KOLI,INC,Indian National Congress,5723,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,MADHURI MANOHAR DHOKE,SS,Shivsena,3536,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,MEENA FRANCIS INGLE,IND,Independent,2418,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,ASMITA GAJANAN PATIL,Republican Party of India (A),Republican Party of India (A),2338,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,AQEELA ANWAR PEJE,IND,Independent,859,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,NANDA EKNATH WAGHMARE,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,619,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,SNEHA GANESH HIWALKAR,MNS,Maharashtra Navnirman Sena,566,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,CHANDRAKALA AJINATH DAHIFALE,IND,Independent,527,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,ARUNA SHRIKRISHNA MOHOD,IND,Independent,361,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,RUPALI MADAN KHALE,BSP,Bahujan Samaj Party,240,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,ANKITA ASHOK PATIL,IND,Independent,155,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,ROHINI SANJAY PATIL,Akhil Bharatiya Sena,Akhil Bharatiya Sena,86,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,181,NOTA,,,407,,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,Milind Dattaram Vaidya,SS,Shivsena,6899,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,RAJAN SURESH PARKAR,MNS,Maharashtra Navnirman Sena,5476,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,ADIL RUKNUDDIN PARKAR,INC,Indian National Congress,3214,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,Vilas Ramesh Ambekar,BJP,Bhartiya Janata Party,2685,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,RAUF USMAN MITHAIWALA,AIMIM,All India Majlis e Ittehadul Muslimeen,1804,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,SUHAIL QASIM SHAIKH,Bhartiya Minorities Suraksha Mahasangh,Bhartiya Minorities Suraksha Mahasangh,402,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,JOSEPH SAMSON GAIKWAD,INC,Indian National Congress,395,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,DEVDAS KASHINATH TANDEL,IND,Independent,123,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,ANILKUMAR MATAPRASAD GUPTA,SP,Samajwadi Party,114,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,shailesh sharad joshi,IND,Independent,36,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,182,NOTA,,,367,,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,GANGA KUNAL MANE,INC,Indian National Congress,3896,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,URMILA RAHUL KATKE,SS,Shivsena,3859,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,UTKARSHA LALA DHAYGUDE,BSP,Bahujan Samaj Party,2942,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,Bhagyashree Shrikrishna Vengurlekar,BJP,Bhartiya Janata Party,2303,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,Heena Moula Shaikh,NCP,Nationalist Congress Party,718,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,Jaibunisa Sajid Ansari,IND,Independent,137,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,183,NOTA,,,208,,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,BABU SAFAJALLI KHAN,INC,Indian National Congress,7017,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,RAJENDRA NARAYAN SURYAWANSHI,SS,Shivsena,4075,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,DEEPAK NAMDEV KALE,INC,Indian National Congress,2520,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,MANI BALAN PANKESHARI,BJP,Bhartiya Janata Party,2297,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,Mohammed Hayat Mohammed Husain Shaikh,AIMIM,All India Majlis e Ittehadul Muslimeen,789,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,RAJESH NARAYAN SONAWANE,MNS,Maharashtra Navnirman Sena,394,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,Asgarhusain Zahidhusain Shaikh,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,335,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,RAMASHISH BALAIRAM JAISWAR,BSP,Bahujan Samaj Party,283,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,SANTOSH ANIL SHINDE,NCP,Nationalist Congress Party,129,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,NITIN POPAT DIVEKAR,IND,Independent,110,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,PRITAM SUBHASH SHETTY,bahujan republican sociolist party,bahujan republican sociolist party,66,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,rajbahadur birendrakumar yadav,IND,Independent,63,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,MANSOOR VAKEELAHMED ANSARI,IND,Independent,60,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,Satish Rajaram Paste,IND,Independent,51,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,BALASUBRAMANYAN LOGANATHAN KOUNDER,IND,Independent,48,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,YASMIN SHAMMI KHAN,Janata Dal Secular,Janata Dal Secular,45,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,Mahesh Shivsagar Sharma,IND,Independent,33,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,imran idris shaikhmohd,IND,Independent,30,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,MohammedIlyas Ahsanali Chowdhary,Peace Party,Peace Party,29,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,Mangal Shivaji Bhagat,IND,Independent,24,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,184,NOTA,,,179,,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,JAGDISH MAKKUNNY THAIVALAPILL,SS,Shivsena,5802,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,SANJAY RAMBHAKT UPADHYAY,BJP,Bhartiya Janata Party,5122,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,BAKKIYANATHAN NARAYAN NADAR,INC,Indian National Congress,4847,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,PAUL RAPHEL NARAPARAMBIL,IND,Independent,780,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,MAHESH NARYAN KHAIRE,MNS,Maharashtra Navnirman Sena,379,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,SANJAY YASHWANT BHALERAO,BSP,Bahujan Samaj Party,359,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,JOLLY MARIASINGARAYAN NADAR,IND,Independent,171,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,mohammadyusuf vazihulkamar khan,SP,Samajwadi Party,115,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,RAMESH BABURAO KARALE,Akhil Bharat Hindu Mahasabha Maharashtra Pradesh,Akhil Bharat Hindu Mahasabha Maharashtra Pradesh,28,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,SELVAKUMAR PERIMBRAJ NADAR,IND,Independent,28,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,185,NOTA,,,247,,data/maharashtra/mumbai/mumbai_2017.csv
2017,186,VASANT SHIVRAM NAKASHE,SS,Shivsena,8794,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,186,SANDESH VITHOBA JAWALEKAR,INC,Indian National Congress,5775,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,186,shrirang MOTIRAM kanade,BJP,Bhartiya Janata Party,3472,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,186,Asgarhusain Zahidhusain Shaikh,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,174,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,186,NOTA,,,480,,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,MARIAMMAL KANDASWAMY THEVAR,SS,Shivsena,6876,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,SHAKILA ABDULKADAR SHAIKH,INC,Indian National Congress,6094,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,Nishigandha Digambar Koli,MNS,Maharashtra Navnirman Sena,1285,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,Sornalaxmi balasubramaniam Thevar,BJP,Bhartiya Janata Party,1265,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,SHIRINBANO TAHIR PATHAN,NCP,Nationalist Congress Party,1248,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,KANIZFATIMA ABUKHALID SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,1033,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,HALIMABEGUM MOBIN ANSARI,BSP,Bahujan Samaj Party,87,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,GULMEENABEGUM MOHDYUNUS SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,61,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,SHABANABEGUM KHALILAHMED SHAIKH,SP,Samajwadi Party,61,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,187,NOTA,,,203,,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,RESHMABANO MOHAMMADHASIM KHAN,NCP,Nationalist Congress Party,7150,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,SUMALATHA DINESH SHETTY,INC,Indian National Congress,7132,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,SHEHNAZBANO ABBASHUSSAIN SHAIKH,SS,Shivsena,2434,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,Geeta Gautam Nandepalli,IND,Independent,2179,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,suguna govindarajan notapplicable,BJP,Bhartiya Janata Party,1382,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,Shabeena Munna Shaikh,MNS,Maharashtra Navnirman Sena,593,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,SAIRABANO KAMIL FAROOQUI,Peace Party,Peace Party,74,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,ANJUM SHAHID QAZI,Janata Dal Secular,Janata Dal Secular,30,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,188,NOTA,,,317,,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,HARSHALA ASHISH MORE,MNS,Maharashtra Navnirman Sena,5920,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,Supriya Dilip Katke,SS,Shivsena,3453,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,MANGALA VISHNU GAIKWAD,IND,Independent,2690,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,Seeta Deepak Wagh,INC,Indian National Congress,2337,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,Shamal Suresh Gambhir,BJP,Bhartiya Janata Party,2126,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,Afsarnisa Abdul Shaikh,Republican Party of India (A),Republican Party of India (A),625,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,SUJATA RAMESH BHALERAO,AIMIM,All India Majlis e Ittehadul Muslimeen,559,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,UJWALA ANIL BHANDARE,BSP,Bahujan Samaj Party,291,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,Chandrakala Sabanna Metri,IND,Independent,170,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,MEERA RATNAKAR SINGH,IND,Independent,91,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,SUMAN BALASAHEB PACHANGE,IND,Independent,79,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,Sonali Vasant Gaikwad,IND,Independent,46,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,189,NOTA,,,310,,data/maharashtra/mumbai/mumbai_2017.csv
2017,190,Sheetal Suresh Gambhir,BJP,Bhartiya Janata Party,8401,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,190,VAISHALI RAJESH PATANKAR,SS,Shivsena,7958,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,190,BHARTI VIRENDRA TANDEL,MNS,Maharashtra Navnirman Sena,7769,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,190,SUPRIYA SUNIL MALVANKAR,INC,Indian National Congress,3622,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,190,NOTA,,,744,,data/maharashtra/mumbai/mumbai_2017.csv
2017,191,VISHAKHA SHARAD RAUT,SS,Shivsena,10660,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,191,Tejasvi Vasant Jadhav,BJP,Bhartiya Janata Party,8297,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,191,SWAPNA YESHWANT DESHPANDE,MNS,Maharashtra Navnirman Sena,8287,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,191,ROSHNA ASHWIN SHAH,INC,Indian National Congress,1466,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,191,VANDANA VIJAYKUMAR DALVI,NCP,Nationalist Congress Party,173,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,191,NOTA,,,611,,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,PRITI PRAKASH PATANKAR,SS,Shivsena,10525,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,SNEHAL SUDHIR JADHAV,MNS,Maharashtra Navnirman Sena,8428,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,VAIBHAVI VIVEK BHATKAR,BJP,Bhartiya Janata Party,7367,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,Harshal Jitendra Kamble,INC,Indian National Congress,2394,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,SHEETAL VIJAY KADAM,NCP,Nationalist Congress Party,295,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,ANITA RAJESH KAMBLE,BSP,Bahujan Samaj Party,255,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,Nanda Sampat Kamble,IND,Independent,145,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,NEELAM RAVINDRA KARPE,IND,Independent,112,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,192,NOTA,,,700,,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,Hemangi Hareshwar Worlikar,SS,Shivsena,13671,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,ROHIT MICHAEL KOLI,MNS,Maharashtra Navnirman Sena,4820,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,Jayant Dattaaram Nte,BJP,Bhartiya Janata Party,4811,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,Runal Rajan Lad,NCP,Nationalist Congress Party,3432,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,NAVNATH MANOHAR KARANDEKAR,IND,Independent,1894,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,ATIT VASANT MAYEKAR,INC,Indian National Congress,1444,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,LINDWALL JOSEPH RODRIGUES,IND,Independent,580,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,Pradeep Manishankar Kawathe,Communist Party Of India,Communist Party Of India,415,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,ANIL SAKHARAM BETKAR,BSP,Bahujan Samaj Party,180,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,DINANATH MARUTI MHATRE,IND,Independent,116,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,193,NOTA,,,721,,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,samadhan sadanand sarvankar,SS,Shivsena,8623,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,MAHESH BALIRAM SAWANT,IND,Independent,8364,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,SANTOSH BALKRISHNA DHURI,MNS,Maharashtra Navnirman Sena,6684,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,Suryakant Laxman Dhavale,BJP,Bhartiya Janata Party,5112,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,NITIN BHAURAO PATIL,INC,Indian National Congress,1495,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,NANDKISHOR ANANDRAO PAWAR,NCP,Nationalist Congress Party,1069,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,AJAY GOVIND SINGH,IND,Independent,899,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,VINOD SHRIDHAR PATADE,IND,Independent,261,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,Sudarshan Prabhakar Surve,IND,Independent,229,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,DIWANSINGH ADHIKARI ADHIKARI,BSP,Bahujan Samaj Party,152,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,ABHISHEK ANAND CHAWAN,IND,Independent,109,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,SANGATHAN VIDYADHAR SHARMA,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,95,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,Eknath Sakharam Mane,Communist Party Of India,Communist Party Of India,77,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,APARNA ANAND DALVI,Janata Dal Secular,Janata Dal Secular,41,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,194,NOTA,,,387,,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,Santosh Namdeo Kharat,SS,Shivsena,10811,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,SUSHIL SAKHARAM SHILWANT,BJP,Bhartiya Janata Party,4838,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,MANGESH PARSHURAM KASALKAR,MNS,Maharashtra Navnirman Sena,2898,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,AJAY KISHOR SHINDE,INC,Indian National Congress,2645,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,VANITA VASANT INSULKAR,NCP,Nationalist Congress Party,2603,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,Jitendra Sudam Dodake,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,1892,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,SHARAD SITARAM SHIRISHKAR,Republican Party of India (A),Republican Party of India (A),274,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,SANJAY SUDAM OVHAL,BSP,Bahujan Samaj Party,186,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,BABAN DNYANU MORE,bahujan republican sociolist party,bahujan republican sociolist party,59,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,Manohar Tanaji Palshetkar,Sambhaji Brigade,Sambhaji Brigade,56,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,SACHIN DILIP ATHAWALE,Republican Party of India (A),Republican Party of India (A),52,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,195,NOTA,,,548,,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,Ashish Ramnath Chemburkar,SS,Shivsena,11306,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,DEEPAK ASHOK PATIL,BJP,Bhartiya Janata Party,5618,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,Dashrath Shivaram Nitanaware,NCP,Nationalist Congress Party,3731,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,DASHRATH DATTRAM NIKAM,MNS,Maharashtra Navnirman Sena,1551,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,SANDEEP SUDHAKAR KHARAT,BSP,Bahujan Samaj Party,1465,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,INDRAJEET VASANT SURYAVANSHI,INC,Indian National Congress,1112,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,SANTOSH RAGHUNATH KADAM,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,240,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,RAJAN BAPU REDKAR,IND,Independent,177,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,Janhvi Sujit Bhagat,IND,Independent,88,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,MOHANSINGH SHANKARSINGH RAJPUT,IND,Independent,78,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,Rajendra Bhanudas Kamble,Republican Party Of India,Republican Party Of India,59,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,Sanjay Ramchandra Kolhapure,IND,Independent,54,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,Vishal Anand Bhingare,Sambhaji Brigade,Sambhaji Brigade,49,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,LILENDRA GOVIND JHA,IND,Independent,22,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,196,NOTA,,,423,,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,DATTARAM SHIVARAM NARVANKAR,MNS,Maharashtra Navnirman Sena,4419,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Parshuram Dattatray Desai,SS,Shivsena,3287,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,ABRAR LALMOHAMMED KHAN,NCP,Nationalist Congress Party,3202,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,NAVNEET DAYASHANKAR PANDE,BJP,Bhartiya Janata Party,2406,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,RAJU GOVIND PAWAR,IND,Independent,1772,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Anita Satyam Nair,IND,Independent,1118,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Aniruddha Krishna Sawant,IND,Independent,899,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Prakash Govind Pawar,IND,Independent,701,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Manoj Pandian Nadar,INC,Indian National Congress,630,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,manoj dinkar marchande,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,560,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,ANAND SATU KAMBLE,BSP,Bahujan Samaj Party,371,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,TIMMA TIMMAPPA GOLLAR,SP,Samajwadi Party,274,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Suresh Tejram Mehra,IND,Independent,129,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,mukesh arma devendra,bahujan republican sociolist party,bahujan republican sociolist party,125,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,VIKAS PRAKASH SALVI,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,121,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,ANAND TUKARAM GURAV,Akhil Bharatiya Sena,Akhil Bharatiya Sena,97,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Dinesh Jayram Tiwari,IND,Independent,85,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Sunil Chandrakant Kothawale,Sambhaji Brigade,Sambhaji Brigade,43,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,AJAY KRISHNA LONDHE,IND,Independent,42,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,MOHAMMAD PARVEZ MOHAMMAD AYUB SHAIKH,IND,Independent,41,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,Mohan Ramachandr Pawar,IND,Independent,39,21,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,kishor ukabhai rathod,IND,Independent,34,22,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,SHABANA IMTIYAZAHMED SHAIKH,IND,Independent,33,23,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,MIDRISRAZA HAJIMBASIR KHAN,IND,Independent,27,24,data/maharashtra/mumbai/mumbai_2017.csv
2017,197,NOTA,,,154,,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,SNEHAL SURYAKANT AMBEKAR,SS,Shivsena,13614,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,VINAYAK RAM MHASHILKAR,MNS,Maharashtra Navnirman Sena,8088,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,KUNAL RAMESH KADAM,Republican Party of India (A),Republican Party of India (A),1720,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,SANJAY SHANKAR KAMBALE,IND,Independent,1598,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,RAMCHANDRA SITARAM NARKAR,IND,Independent,219,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,MAKARAND SHRIDHAR TASGAONKAR,NCP,Nationalist Congress Party,123,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,198,NOTA,,,819,,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,Kishori Kishor Pednekar,SS,Shivsena,11229,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,VIJAYMALA BABAN DESAI,NCP,Nationalist Congress Party,5456,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,AARATI CHANDRAKANT PUGAONKAR,BJP,Bhartiya Janata Party,4404,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,HEENA VIJAYKUMAR KANOJIA,INC,Indian National Congress,1823,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,Priyanka Premlal Kanojia,MNS,Maharashtra Navnirman Sena,1416,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,Avanti Santosh Talekar,bahujan republican sociolist party,bahujan republican sociolist party,570,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,SHASHIKALA AKHILESH JAISWAR,BSP,Bahujan Samaj Party,548,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,Sudha Vithalrao Kadam,IND,Independent,165,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,RAJSHREE SANDEEP KHAVARE,IND,Independent,88,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,VEENA SUDHAKAR KADAM,IND,Independent,67,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,199,NOTA,,,527,,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,URMILA ULHAS PANCHAL,SS,Shivsena,9098,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,PALLAVI MAHENDRA MUNGEKAR,INC,Indian National Congress,6937,2,data/maharashtra/mumbai/mumbai_2017.csv
