source_pdf,tier,reservation_raw,caste_reservation_local,caste_reservation,woman_reserved,count,min_match_score
block_member_gandhinagar_tps_2020.pdf,block_member,| ભબિનઅનામતસામાન્ય |,બિન અનામત સામાન્ય,NONE,0,1,0.9677
block_member_gandhinagar_tps_2020.pdf,block_member,| શસા.શૈ.પછાતવર્ગ : |,સા.શૈ.પછાતવર્ગ,BC,0,1,0.96
block_member_gandhinagar_tps_2020.pdf,block_member,| શસામાન્યસ્્રી,સામાન્ય સ્ત્રી,NONE,1,1,0.9231
block_member_gandhinagar_tps_2020.pdf,block_member,| શામાન્યસ્જી |,સામાન્ય સ્ત્રી,NONE,1,1,0.75
block_member_gandhinagar_tps_2020.pdf,block_member,| શામાન્યસ્સી |,સામાન્ય સ્ત્રી,NONE,1,1,0.75
block_member_gandhinagar_tps_2020.pdf,block_member,| સા.શૈ.પછાતવર્ગસ્ત્રી |,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,| સામાન્ય સ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,| સામાન્યસ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,| “_ 'સામાન્ય સ્ત્રી ।,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,। બિનઅનામત સામાન્ય * 1,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,। બિનઅનામત સામાન્ય” ।,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,4,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય _ 1,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય _ |,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય ।,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ.,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી .,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,ી બિનઅનામત સામાન્ય |,બિન અનામત સામાન્ય,NONE,0,1,0.9677
block_member_girgadhda_tps_2020.pdf,block_member,* _સામાન્યસ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,. સામાન્યસ્ત્રી][ |,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,_- અનુસૂચિતજાતિસ્ત્રી |.,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,| બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ |,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય .,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય : |,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય |,બિન અનામત સામાન્ય,NONE,0,2,1.0
block_member_girgadhda_tps_2020.pdf,block_member,બિનઅનામતસામાન્ય |,બિન અનામત સામાન્ય,NONE,0,3,1.0
block_member_girgadhda_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ .,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગસ્ત્રી |,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,સામાન્યસ્ત્રી .,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_girgadhda_tps_2020.pdf,block_member,સામાન્યસ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,4,1.0
block_member_girgadhda_tps_2020.pdf,block_member,સામાન્યસ્ત્રી”,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_jesar_tps_2020.pdf,block_member,_ અનુસૂચિત આદિજાતિસ્ત્રી *,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_jesar_tps_2020.pdf,block_member,અનુસૂચિતજાતિ,અનુસૂચિત જાતિ,SC,0,1,1.0
block_member_jesar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,3,1.0
block_member_jesar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય *,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_jesar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય ક,બિન અનામત સામાન્ય,NONE,0,1,0.9677
block_member_jesar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_jesar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ સ્ત્રી,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_jesar_tps_2020.pdf,block_member,સામાન્ય સ્ત્ર,સામાન્ય સ્ત્રી,NONE,1,1,0.96
block_member_jesar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_jesar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી -,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_jesar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી રી,સામાન્ય સ્ત્રી,NONE,1,1,0.9286
block_member_jesar_tps_2020.pdf,block_member,સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_jesar_tps_2020.pdf,block_member,“ બિનઅનામત સામાન્ય.,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_jesar_tps_2020.pdf,block_member,“ શસામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,0.963
block_member_kalol_tps_2020.pdf,block_member,. બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,. સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,: સામાન્યસ્ત્રી .,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,_ સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,| બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ સ્ત્રી,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,અનુસૂચિત જાતિ,અનુસૂચિત જાતિ,SC,0,1,1.0
block_member_kalol_tps_2020.pdf,block_member,અનુસૂચિત જાતિસ્ત્રી *,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_kalol_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,5,1.0
