Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Kishor Chauhan,IND,146,Sadh Nagar (G),287,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.76,0.77,
Balbir,IND,146,Sadh Nagar (G),252,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.68,
Ramji Singh,IND,146,Sadh Nagar (G),248,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.67,
Santosh,IND,146,Sadh Nagar (G),224,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.37,0.6,
Sunny Sharma,SS,146,Sadh Nagar (G),137,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.37,
R.S. Sagar,IND,146,Sadh Nagar (G),111,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.3,
Gurdeep Singh,IND,146,Sadh Nagar (G),109,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.29,
Dinesh Kumar,NCP,146,Sadh Nagar (G),72,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.19,
Jagmohan,IND,146,Sadh Nagar (G),36,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.1,
Sudeshwati,BSP,147,Mahavir Enclave (W),4663,Winner,Women,,,,,,,,,,,,,,,,,,,,,47946,18350,38.27,25.41,9.73,
KAVITA DEVI,INC,147,Mahavir Enclave (W),4545,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,24.77,9.48,
Manju  Rani,IND,147,Mahavir Enclave (W),3883,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,21.16,8.1,
Kalpeshwari,IND,147,Mahavir Enclave (W),1928,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,10.51,4.02,
NIRMAL SWAMI,NCP,147,Mahavir Enclave (W),1613,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,8.79,3.36,
N. Jaya Laxmi,PMK,147,Mahavir Enclave (W),837,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.56,1.75,
Ms.  Neha  Mann,INLD,147,Mahavir Enclave (W),428,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.33,0.89,
Hemlata,JD(U),147,Mahavir Enclave (W),253,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.53,
Baby Sharma,IND,147,Mahavir Enclave (W),109,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.23,
Sunita  Devi,IND,147,Mahavir Enclave (W),91,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.19,
Bhatt M.R,INC,148,Madhu Vihar (G),3810,Winner,,,,,,,,,,,,,,,,,,,,,,33921,14985,44.18,25.43,11.23,
CHANDER SHEKHAR RAI,BJP,148,Madhu Vihar (G),3231,Lost,,,,,,,,,,,,,,,,,,,,,,,,,21.56,9.53,
Ranbir Singh Solanki,IND,148,Madhu Vihar (G),2498,Lost,,,,,,,,,,,,,,,,,,,,,,,,,16.67,7.36,
Anand Kumar,IND,148,Madhu Vihar (G),1322,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.82,3.9,
Jag Ram  Bhadana,IND,148,Madhu Vihar (G),1111,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.41,3.28,
OM PRAKASH,NCP,148,Madhu Vihar (G),677,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.52,2,
Sh. Vinay Kumar,BSP,148,Madhu Vihar (G),668,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.46,1.97,
Sh. Sidh Raj Singh,INLD,148,Madhu Vihar (G),497,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.32,1.47,
Birender Solanki,IND,148,Madhu Vihar (G),295,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.97,0.87,
Sh. Chetan Prakash Sharma,IND,148,Madhu Vihar (G),274,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.83,0.81,
B.R. Sharma,IND,148,Madhu Vihar (G),253,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.69,0.75,
Parmod Kumar,JD(U),148,Madhu Vihar (G),144,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.42,
Vijay Kumar,IND,148,Madhu Vihar (G),111,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.33,
Suman Kumar,RJD,148,Madhu Vihar (G),94,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.28,
Mool Chand,BJP,149,Rajinder Nagar (G),8452,Winner,,,,,,,,,,,,,,,,,,,,,,47027,16037,34.1,52.7,17.97,
Balan Mani,INC,149,Rajinder Nagar (G),5323,Lost,,,,,,,,,,,,,,,,,,,,,,,,,33.19,11.32,
S.P. Gupta,IND,149,Rajinder Nagar (G),1257,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.84,2.67,
Tirlok Chand,IND,149,Rajinder Nagar (G),780,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.86,1.66,
Mohan Lal,RJD,149,Rajinder Nagar (G),130,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.28,
Ram Dass Malik,SS,149,Rajinder Nagar (G),95,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.2,
Vidya Devi,BJP,150,Pusa (SCW),6025,Winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,32672,12664,38.76,47.58,18.44,
Minakshi,INC,150,Pusa (SCW),4692,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,37.05,14.36,
Pinki,IND,150,Pusa (SCW),944,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,7.45,2.89,
Sunita,BSP,150,Pusa (SCW),895,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,7.07,2.74,
Tara Devi,IND,150,Pusa (SCW),108,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.33,
Suraj Kumar,BJP,151,Inderpuri (SC),4781,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,34666,13539,39.06,35.31,13.79,
Mohan Lal,INC,151,Inderpuri (SC),4232,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,31.26,12.21,
Vikram Dutt,IND,151,Inderpuri (SC),1542,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,11.39,4.45,
Mamchand,BSP,151,Inderpuri (SC),1432,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,10.58,4.13,
Kalyan Singh,IND,151,Inderpuri (SC),786,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,5.81,2.27,
Radhey Shyam,NCP,151,Inderpuri (SC),689,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,5.09,1.99,
Lal Chand,IND,151,Inderpuri (SC),77,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.22,
Malti Verma,BJP,152,Naraina (W),7393,Winner,Women,,,,,,,,,,,,,,,,,,,,,41117,15799,38.42,46.79,17.98,
Sumita Garg,INC,152,Naraina (W),3220,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,20.38,7.83,
Laxmi Sharma,IND,152,Naraina (W),2960,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,18.74,7.2,
Mumtaz Begum,BSP,152,Naraina (W),950,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.01,2.31,
Saroj Bala,INLD,152,Naraina (W),568,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.38,
Santosh,IND,152,Naraina (W),240,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.58,
Sunaina Devi,IND,152,Naraina (W),167,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.41,
Kajla Bansal,IND,152,Naraina (W),134,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.33,
Kusum Vashisth,NCP,152,Naraina (W),117,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.28,
Kamal Jeet Kaur,IND,152,Naraina (W),32,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.08,
Reeta Rawat,IND,152,Naraina (W),18,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.04,
Sunder,BJP,153,Daryaganj (G),3853,Winner,,,,,,,,,,,,,,,,,,,,,,23218,8367,36.04,46.05,16.59,Harnidh
Ramesh Dutta,INC,153,Daryaganj (G),2526,Lost,,,,,,,,,,,,,,,,,,,,,,,,,30.19,10.88,
Ram Kumar,IND,153,Daryaganj (G),928,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.09,4,
Benazir khan,BSP,153,Daryaganj (G),289,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.45,1.24,
Majid Khan,NCP,153,Daryaganj (G),256,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.06,1.1,
Yogesh  Kumar,LJP,153,Daryaganj (G),210,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.51,0.9,
Rajkumari,IND,153,Daryaganj (G),151,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.65,
Vijay Kumar Gupta,IND,153,Daryaganj (G),65,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.28,
Vijay  Pal,IND,153,Daryaganj (G),33,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.14,
Mohd. Ishaq,IND,153,Daryaganj (G),32,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.14,
Archana Gupta,IND,153,Daryaganj (G),24,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.1,
Farhad Suri,INC,154,Nizamuddin (G),6595,Winner,,,,,,,,,,,,,,,,,,,,,,26184,10774,41.15,61.21,25.19,
Nisar Ahmed,BJP,154,Nizamuddin (G),3290,Lost,,,,,,,,,,,,,,,,,,,,,,,,,30.54,12.56,
Md. Kalim Khan,BSP,154,Nizamuddin (G),595,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.52,2.27,
Md. Shahwar Khan,IND,154,Nizamuddin (G),134,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.51,
Amir Ahmed,IND,154,Nizamuddin (G),108,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1,0.41,
Surinder Pal Singh,IND,154,Nizamuddin (G),52,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.2,
Veena Abrol,BJP,155,Lajpat Nagar (W),6244,Winner,Women,,,,,,,,,,,,,,,,,,,,,31789,12247,38.53,50.98,19.64,
Harvinder Kaur Sethi,INC,155,Lajpat Nagar (W),5192,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,42.39,16.33,
M.Anjali,PMK,155,Lajpat Nagar (W),426,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.48,1.34,
Shekha Sharma,IND,155,Lajpat Nagar (W),215,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.76,0.68,
Manju Sachdeva,IND,155,Lajpat Nagar (W),170,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.39,0.53,
Darshna,INC,156,Bhogal (SC),7117,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,37514,15164,40.42,46.93,18.97,
Khem Chand Koli,BJP,156,Bhogal (SC),4141,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,27.31,11.04,
Mahender kumar,BSP,156,Bhogal (SC),1649,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,10.87,4.4,
Sanjeev Kumar Chotala,IND,156,Bhogal (SC),1108,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,7.31,2.95,
Pradyot kumar,IND,156,Bhogal (SC),701,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.62,1.87,
Bachan Singh,IND,156,Bhogal (SC),303,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2,0.81,
Vishan Pal Gautam,JD(U),156,Bhogal (SC),93,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.25,
Kalu Ram Bharti,IND,156,Bhogal (SC),52,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.14,
Jagdish Mamgain,BJP,157,Kasturba Nagar (G),3687,Winner,,,,,,,,,,,,,,,,,,,,,,32341,9513,29.41,38.76,11.4,
RAVI KALSHI,INC,157,Kasturba Nagar (G),3233,Lost,,,,,,,,,,,,,,,,,,,,,,,,,33.99,10,
Jitender Verma,IND,157,Kasturba Nagar (G),995,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.46,3.08,
Anand Upadhyay,INLD,157,Kasturba Nagar (G),962,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.11,2.97,
Sanjay Kumar,IND,157,Kasturba Nagar (G),286,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.01,0.88,
Sh. Pawan Kumar,LJP,157,Kasturba Nagar (G),200,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.62,
SATBEER,NCP,157,Kasturba Nagar (G),150,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.58,0.46,
Ravinder Choudhry,BJP,158,Kotla Mubarak Pur (G),6879,Winner,,,,,,,,,,,,,,,,,,,,,,35004,15021,42.91,45.8,19.65,Harnidh
RAMESH,INC,158,Kotla Mubarak Pur (G),6154,Lost,,,,,,,,,,,,,,,,,,,,,,,,,40.97,17.58,
KRISHAN KUMAR,BSP,158,Kotla Mubarak Pur (G),954,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.35,2.73,
DHEER SINGH,NCP,158,Kotla Mubarak Pur (G),424,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.82,1.21,
D.N. Shrivastava,JKPP,158,Kotla Mubarak Pur (G),366,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.44,1.05,
Sundeep,SS,158,Kotla Mubarak Pur (G),169,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.48,
Seema Gupta,IND,158,Kotla Mubarak Pur (G),75,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.21,
Savita,BJP,159,Andrews Ganj (W),5509,Winner,Women,,,,,,,,,,,,,,,,,,,,,37723,10408,27.59,52.93,14.6,Harnidh
VARSH MONGA,INC,159,Andrews Ganj (W),3805,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,36.56,10.09,
Geeta Bhargava,IND,159,Andrews Ganj (W),685,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.58,1.82,
Sima,INLD,159,Andrews Ganj (W),313,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.01,0.83,
Sarita kudasi,NCP,159,Andrews Ganj (W),49,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.13,
Deepika Kumar,IND,159,Andrews Ganj (W),47,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.12,
B.P. Mandal,BJP,160,Amar Colony (G),5027,Winner,,,,,,,,,,,,,,,,,,,,,,31370,12838,40.92,39.16,16.02,
Harish Kumar. Arora,INC,160,Amar Colony (G),4387,Lost,,,,,,,,,,,,,,,,,,,,,,,,,34.17,13.98,
Satish,INLD,160,Amar Colony (G),3348,Lost,,,,,,,,,,,,,,,,,,,,,,,,,26.08,10.67,
Raman Kumar,IND,160,Amar Colony (G),76,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.24,
Ingerjeet Verma,BJP,161,Malviya Nagar (G),4973,Winner,,,,,,,,,,,,,,,,,,,,,,27886,10312,36.98,48.23,17.83,
Ravi Dutt Gaur,INC,161,Malviya Nagar (G),3682,Lost,,,,,,,,,,,,,,,,,,,,,,,,,35.71,13.2,
Sanjeet,NCP,161,Malviya Nagar (G),1268,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.3,4.55,
Vijender Singh,BSP,161,Malviya Nagar (G),177,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.63,
Prem Singh,JKPP,161,Malviya Nagar (G),126,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.22,0.45,
Javed Farooqui,LJP,161,Malviya Nagar (G),86,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.31,
Mudita Gupta,BJP,162,Village Hauz Rani (W),5311,Winner,Women,,,,,,,,,,,,,,,,,,,,,27768,10554,38.01,50.32,19.13,
Rukhsana Begum,INC,162,Village Hauz Rani (W),2615,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,24.78,9.42,
Naima,BSP,162,Village Hauz Rani (W),2246,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,21.28,8.09,
Anjali Kalra,RLD,162,Village Hauz Rani (W),220,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.79,
VeerBati,IND,162,Village Hauz Rani (W),61,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.22,
Fatima Begum,IND,162,Village Hauz Rani (W),56,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.2,
Mansaran  Kaur,NCP,162,Village Hauz Rani (W),23,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.08,
Bilquish Begum,IND,162,Village Hauz Rani (W),22,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.08,
Shailender,BJP,163,Safdarjang Enclave (G),6359,Winner,,,,,,,,,,,,,,,,,,,,,,36425,11932,32.76,53.29,17.46,
Neetu Verma Soin,INC,163,Safdarjang Enclave (G),3551,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.76,9.75,
Rajan Balguhar,IND,163,Safdarjang Enclave (G),1345,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.27,3.69,
Ashok Sharma,INLD,163,Safdarjang Enclave (G),551,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.62,1.51,
Rashmi Bhatnagar,BSP,163,Safdarjang Enclave (G),126,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.35,
Arti Mehra,BJP,164,Hauz Khas (G),6500,Winner,,,,,,,,,,,,,,,,,,,,,,33636,12115,36.02,53.65,19.32,
Aman Arora,INC,164,Hauz Khas (G),3557,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.36,10.57,
Kamal Kishore,INLD,164,Hauz Khas (G),1091,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.01,3.24,
Surender,IND,164,Hauz Khas (G),287,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.37,0.85,
Satish Kumar,IND,164,Hauz Khas (G),251,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.07,0.75,
Suraj,BSP,164,Hauz Khas (G),249,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.06,0.74,
S.D. Mitroo,IND,164,Hauz Khas (G),95,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.28,
Neeraj,NCP,164,Hauz Khas (G),56,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.17,
Lalit Mullick,IND,164,Hauz Khas (G),17,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.05,
Jai Bhagwan,IND,164,Hauz Khas (G),12,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.04,
Kapila Rani,BJP,165,Vasant Vihar (W),3706,Winner,Women,,,,,,,,,,,,,,,,,,,,,32922,8908,27.06,41.6,11.26,Harnidh
Shashi Sharma,INC,165,Vasant Vihar (W),3563,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,40,10.82,
Suman,BSP,165,Vasant Vihar (W),953,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,10.7,2.89,
Kumkum Talwar,IND,165,Vasant Vihar (W),593,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.66,1.8,
Amita Gurang,IND,165,Vasant Vihar (W),93,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.28,
Ajit Singh,BJP,166,Munirka (G),4554,Winner,,,,,,,,,,,,,,,,,,,,,,34181,9545,27.92,47.71,13.32,
Narinder,INC,166,Munirka (G),4052,Lost,,,,,,,,,,,,,,,,,,,,,,,,,42.45,11.85,
Laxmi,BSP,166,Munirka (G),843,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.83,2.47,
Nirmala,INLD,166,Munirka (G),96,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.28,
Anil Kumar Sharma,BJP,167,R.K. Puram (G),5536,Winner,,,,,,,,,,,,,,,,,,,,,,34450,10842,31.47,51.06,16.07,
Rajesh Kumar Garg,INC,167,R.K. Puram (G),3850,Lost,,,,,,,,,,,,,,,,,,,,,,,,,35.51,11.18,
Iswar Singh,IND,167,R.K. Puram (G),445,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.29,
Devak Ram,BSP,167,R.K. Puram (G),343,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.16,1,
Kulwant Singh,IND,167,R.K. Puram (G),168,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.55,0.49,
Kishan Tokas,INLD,167,R.K. Puram (G),121,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.35,
Pradeep Singh,IND,167,R.K. Puram (G),111,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.32,
Sanjay Kumar Sinha,IND,167,R.K. Puram (G),91,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.26,
Rajeev Sharma,IND,167,R.K. Puram (G),61,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.18,
Raja Ram,LJP,167,R.K. Puram (G),49,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.14,
Awtar Marwaha,IND,167,R.K. Puram (G),48,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.14,
Mukti Mandal,IND,167,R.K. Puram (G),19,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.06,
Anita,BJP,168,Nanak Pura (W),4952,Winner,Women,,,,,,,,,,,,,,,,,,,,,37634,10230,27.18,48.41,13.16,
Sundri Malik,INC,168,Nanak Pura (W),3899,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,38.11,10.36,
Suman Kashyap,BSP,168,Nanak Pura (W),553,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.41,1.47,
Bimla,IND,168,Nanak Pura (W),382,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.73,1.02,
Swati Agnihotri,LJP,168,Nanak Pura (W),196,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.92,0.52,
Meena,NCP,168,Nanak Pura (W),170,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.66,0.45,
Kamini Singh,INLD,168,Nanak Pura (W),52,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.14,
Bimla Jain,IND,168,Nanak Pura (W),26,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.07,
Yogender Singh,BJP,169,Lado Sarai (G),3831,Winner,,,,,,,,,,,,,,,,,,,,,,33341,10741,32.22,35.67,11.49,
Karan,INC,169,Lado Sarai (G),3022,Lost,,,,,,,,,,,,,,,,,,,,,,,,,28.14,9.06,
Umesh Chawdhry,IND,169,Lado Sarai (G),2214,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.61,6.64,
Narender,BSP,169,Lado Sarai (G),931,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.67,2.79,
Devender Sood,INLD,169,Lado Sarai (G),677,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.03,
Rajbir,IND,169,Lado Sarai (G),66,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.2,
Satbir Singh,INC,170,Mehrauli (G),5480,Winner,,,,,,,,,,,,,,,,,,,,,,35294,13773,39.02,39.79,15.53,
Krishan  Kumar,BJP,170,Mehrauli (G),4338,Lost,,,,,,,,,,,,,,,,,,,,,,,,,31.5,12.29,
Harish Bakshi,BSP,170,Mehrauli (G),2514,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.25,7.12,
Balvir Singh,IND,170,Mehrauli (G),554,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.02,1.57,
Riyasat Ali,INLD,170,Mehrauli (G),345,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.98,
Gajender Sharma,IND,170,Mehrauli (G),321,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.33,0.91,
Surinder Pal Kohli,IND,170,Mehrauli (G),167,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.47,
Jogeshwar Kamat,IND,170,Mehrauli (G),54,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.15,
Rakesh Rajora,INC,171,Vasant Kunj (SC),3153,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,34910,8797,25.2,35.84,9.03,
Rajender Kumar,BJP,171,Vasant Kunj (SC),3038,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,34.53,8.7,
Munna Lal,BSP,171,Vasant Kunj (SC),1352,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,15.37,3.87,
Vijay Kumar,IND,171,Vasant Kunj (SC),703,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,7.99,2.01,
Suresh Chand,IND,171,Vasant Kunj (SC),380,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.32,1.09,
Leela Devi,LJP,171,Vasant Kunj (SC),171,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.94,0.49,
Ramesh,INC,172,Kishangarh (W),5253,Winner,Women,,,,,,,,,,,,,,,,,,,,,26950,9523,35.34,55.16,19.49,
Shobha M. Balaji,BJP,172,Kishangarh (W),3670,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,38.54,13.62,
KUSUM,BSP,172,Kishangarh (W),600,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.23,
Ram Pal,BJP,173,SaidulAjaib (G),4767,Winner,,,,,,,,,,,,,,,,,,,,,,27898,11289,40.47,42.23,17.09,
Jai Singh,INC,173,SaidulAjaib (G),4295,Lost,,,,,,,,,,,,,,,,,,,,,,,,,38.05,15.4,
Sri Niwas,BSP,173,SaidulAjaib (G),1859,Lost,,,,,,,,,,,,,,,,,,,,,,,,,16.47,6.66,
Man Singh Dagar,IND,173,SaidulAjaib (G),178,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.58,0.64,
Lokesh Kumar,INLD,173,SaidulAjaib (G),102,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.37,
Ganesh Prasad Kashyap,IND,173,SaidulAjaib (G),64,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.23,
Niranjan Singh,NCP,173,SaidulAjaib (G),24,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.09,
Chander Kiran  Tyagi,IND,174,Chhatarpur (G),3766,Winner,,,,,,,,,,,,,,,,,,,,,,33758,15491,45.89,24.31,11.16,
Mast Ram,BJP,174,Chhatarpur (G),3466,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.37,10.27,
