Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
"NARENDRA KUMAR
SHARMA",KARDAM PURI,49-E,BAHUJAN SAMAJ PARTY,616,Lost,,,E,General,4067817,0,,,,,,,,,,,,,,,,12th Pass
Mohd Furkan,KARDAM PURI,49-E,INDIAN NATIONAL CONGRESS,8549,Lost,,,E,General,4916407,275000,,,,,,,,,,,,,,,,5th Pass
"ZAHIDUR
RAHMAN",KARDAM PURI,49-E,INDEPENDENT,34,Lost,,,E,General,12999222,13000,,,,,,,,,,,,,,,,10th Pass
Mahesh,MOLARBAND,96-S,BHARATIYA JANATA PARTY,11197,Winner,29609,58218,S,General,114172936,2000000,Correct,48,married,3,0,yes,yes,yes,yes,0,0,1610000,social worker,housewife,11197,8th Pass
"MUKESH KUMAR
BANSAL",KARDAM PURI,49-E,BHARATIYA JANATA PARTY,10046,Lost,,,E,General,104717140,29144411,,,,,,,,,,,,,,,10046,10th Pass
NOTA,KARDAM PURI,49-E,,91,,,,E,General,,,,,,,,,,,,,,,,,,
Manoj Kumar Badsiwal,NANGLOI JAT,49-N,INDEPENDENT,75,Lost,,,N,SC,222176,0,,,,,,,,,,,,,,,,Graduate
Vicky,NANGLOI JAT,49-N,"JAMMU & KASHMIR NATIONAL PANTHERS
PARTY",173,Lost,,,N,SC,289500,0,,,,,,,,,,,,,,,,Graduate
Lav Bhushan,NANGLOI JAT,49-N,INDEPENDENT,42,Lost,,,N,SC,340194,0,,,,,,,,,,,,,,,,Post Graduate
Parveen Baghri,NANGLOI JAT,49-N,"ALL INDIA FORWARD
BLOC",1133,Lost,,,N,SC,360777,167312,,,,,,,,,,,,,,,,Post Graduate
Ram Chander,NANGLOI JAT,49-N,INDEPENDENT,230,Lost,,,N,SC,384883,0,,,,,,,,,,,,,,,,Illiterate
Sanjay,NANGLOI JAT,49-N,AAM AADMI PARTY,6295,Lost,,,N,SC,443592,0,,,,,,,,,,,,,,,,10th Pass
Mahesh,NANGLOI JAT,49-N,INDEPENDENT,585,Lost,,,N,SC,524165,11418,,,,,,,,,,,,,,,,8th Pass
Harish Kumar,NANGLOI JAT,49-N,BAHUJAN SAMAJ PARTY,1269,Lost,,,N,SC,2491542,0,,,,,,,,,,,,,,,,8th Pass
Amit Kumar,NANGLOI JAT,49-N,INDEPENDENT,873,Lost,,,N,SC,3200710,0,,,,,,,,,,,,,,,,Graduate
Vipin Malhotra,MOTI NAGAR,100-N,BHARATIYA JANATA PARTY,12448,Winner,29440,52889,N,General,2506900,0,Correct,41,Married,2,0,yes,yes,no,no,0,0,316337,self-employed,housewife,12448,10th Pass
Ghanshyam Tanwar,NANGLOI JAT,49-N,INDEPENDENT,5271,Lost,,,N,SC,9908214,0,,,,,,,,,,,,,,,,12th Pass
Prithvi Singh Rathore,NANGLOI JAT,49-N,INDIAN NATIONAL CONGRESS,7877,Lost,,,N,SC,17104077,0,,,,,,,,,,,,,,,7877,10th Pass
Kamlesh,NANGLOI JAT,49-N,JANATA DAL (UNITED),184,Lost,,,N,SC,35720177,0,,,,,,,,,,,,,,,,5th Pass
NOTA,NANGLOI JAT,49-N,,274,,,,N,SC,,,,,,,,,,,,,,,,,,
Monika Yadav,KAPASHERA,49-S,BAHUJAN SAMAJ PARTY,107,Lost,,,S,Women,1098000,200000,,,,,,,,,,,,,,,,12th Pass
Raj Kiran,KAPASHERA,49-S,INDEPENDENT,98,Lost,,,S,Women,1110000,1500000,,,,,,,,,,,,,,,,Graduate
Rakhi Paswan,KAPASHERA,49-S,JANATA DAL (UNITED),51,Lost,,,S,Women,1237369,0,,,,,,,,,,,,,,,,8th Pass
Nishi Yadav,KAPASHERA,49-S,AAM AADMI PARTY,761,Lost,,,S,Women,1287523,0,,,,,,,,,,,,,,,,Graduate Professional
Poonam Parashar Jha,MUBARAK PUR DABAS,44-N,BHARATIYA JANATA PARTY,13997,Winner,31166,53470,N,Women,28411693,0,Correct,42,married,2,0,yes,yes,yes,yes,0,0,20733211,professional,business,13997,Post Graduate
Sunita Devi,KAPASHERA,49-S,BHARATIYA JANATA PARTY,1717,Lost,,,S,Women,11119419,0,,,,,,,,,,,,,,,,Illiterate
Manju Yadav,KAPASHERA,49-S,INDIAN NATIONAL CONGRESS,3321,Lost,,,S,Women,37660170,500000,,,,,,,,,,,,,,,3321,Post Graduate
Manju,KAPASHERA,49-S,INDEPENDENT,194,Lost,,,S,Women,74783591,1153980,,,,,,,,,,,,,,,,Graduate
NOTA,KAPASHERA,49-S,,41,,,,S,Women,,,,,,,,,,,,,,,,,,
"SANDEEP
KUMAR",DALLUPURA,5-E,INDEPENDENT,317,Lost,,,E,General,10000,20000,,,,,,,,,,,,,,,,Graduate
"RAM PRAVESH
YADAV",DALLUPURA,5-E,INDEPENDENT,51,Lost,,,E,General,192677,0,,,,,,,,,,,,,,,,8th Pass
Sunder Pal,DALLUPURA,5-E,INDEPENDENT,28,Lost,,,E,General,1488082,0,,,,,,,,,,,,,,,,10th Pass
"MOHD
NASEER",DALLUPURA,5-E,BAHUJAN SAMAJ PARTY,165,Lost,,,E,General,3710228,0,,,,,,,,,,,,,,,,8th Pass
Rahul,DALLUPURA,5-E,INDEPENDENT,125,Lost,,,E,General,4557107,1993546,,,,,,,,,,,,,,,,12th Pass
Pooja Madan,MUKHERJEE NAGAR,15-N,BHARATIYA JANATA PARTY,10942,Winner,22844,46682,N,Women,19684847,0,Correct,39,Married,1,1,yes,yes,yes,yes,0,0,13746278,business,business,10942,12th Pass
Anand Kumar,DALLUPURA,5-E,INDIAN NATIONAL CONGRESS,7916,Lost,,,E,General,23838537,1200112,,,,,,,,,,,,,,,7916,10th Pass
"PARMAL
SINGH",DALLUPURA,5-E,AAM AADMI PARTY,4361,Lost,,,E,General,66600000,0,,,,,,,,,,,,,,,,5th Pass
NOTA,DALLUPURA,5-E,,244,,,,E,General,,,,,,,,,,,,,,,,,,
Ajay Kumar,MUKUNDPUR,11-N,AAM AADMI PARTY,8400,Winner,21652,37154,N,General,3304206,33000,Error -Fixed,33,Married,2,0,yes,yes,no,no,0,0,1545000,business,housewife,8400,8th Pass
Vinod Bhardwaj,BANKNER,5-N,BHARATIYA JANATA PARTY,5350,Lost,,,N,General,18915380,0,,,,,,,,,,,,,,,5350,12th Pass
Dinesh Kumar,BANKNER,5-N,INDIAN NATIONAL CONGRESS,4311,Lost,,,N,General,252000,0,,,,,,,,,,,,,,,,12th Pass
Chand Singh,BANKNER,5-N,BAHUJAN SAMAJ PARTY,4236,Lost,,,N,General,4630000,665000,,,,,,,,,,,,,,,,Graduate
Basant Panwar,BANKNER,5-N,INDIAN NATIONAL LOK DAL,521,Lost,,,N,General,1783797,90000,,,,,,,,,,,,,,,,8th Pass
Ram Kumar,BANKNER,5-N,INDEPENDENT,456,Lost,,,N,General,22300200,1500000,,,,,,,,,,,,,,,,8th Pass
"ANIL KUMAR
SINGH",BANKNER,5-N,INDEPENDENT,216,Lost,,,N,General,3230131,0,,,,,,,,,,,,,,,,12th Pass
NOTA,BANKNER,5-N,,125,,,,N,General,,,,,,,,,,,,,,,,,,
Samrat,BANKNER,5-N,INDEPENDENT,112,Lost,,,N,General,129209,0,,,,,,,,,,,,,,,,8th Pass
TejPal Singh,BANKNER,5-N,INDEPENDENT,49,Lost,,,N,General,3053633,0,,,,,,,,,,,,,,,,10th Pass
AMIT KUMAR,BANKNER,5-N,SHIV SENA,1825,Lost,,,N,General,,,,,,,,,,,,,,,,,,
Sunil Kumar Khatri,RAJOURI GARDEN,5-S,INDEPENDENT,200,Lost,,,S,General,1625158,0,,,,,,,,,,,,,,,,Graduate
Manpreet Singh,RAJOURI GARDEN,5-S,AAM AADMI PARTY,6605,Lost,,,S,General,5968676,170000,,,,,,,,,,,,,,,6605,12th Pass
Amit Tanwar,RAJOURI GARDEN,5-S,INDEPENDENT,352,Lost,,,S,General,5989194,2700000,,,,,,,,,,,,,,,,Graduate
Anil,MUNDKA,39-N,AAM AADMI PARTY,11578,Winner,33379,60695,N,General,53723025,187500,Correct,36,married,3,0,yes,yes,no,no,0,0,2668295,business,housewife,11578,Graduate
Vinod Chopra,RAJOURI GARDEN,5-S,INDEPENDENT,12,Lost,,,S,General,9332000,0,,,,,,,,,,,,,,,,5th Pass
Nirmal Singh Bhatia,RAJOURI GARDEN,5-S,INDIAN NATIONAL CONGRESS,2842,Lost,,,S,General,258600000,32300000,,,,,,,,,,,,,,,,12th Pass
NOTA,RAJOURI GARDEN,5-S,,172,,,,S,General,,,,,,,,,,,,,,,,,,
Suman,BABARPUR,50-E,BAHUJAN SAMAJ PARTY,139,Lost,,,E,Women,11000,0,,,,,,,,,,,,,,,,Literate
Deepshikha Kaushik,BABARPUR,50-E,INDEPENDENT,457,Lost,,,E,Women,96500,0,,,,,,,,,,,,,,,,Graduate
"PRIYANKA
SANJAY GAUR",BABARPUR,50-E,INDEPENDENT,15,Lost,,,E,Women,864000,0,,,,,,,,,,,,,,,,Graduate
Poonam Tyagi,BABARPUR,50-E,INDEPENDENT,49,Lost,,,E,Women,2280000,0,,,,,,,,,,,,,,,,12th Pass
Suvarna Raj,BABARPUR,50-E,INDEPENDENT,133,Lost,,,E,Women,2499692,1610000,,,,,,,,,,,,,,,,Post Graduate
Satya Wati,BABARPUR,50-E,AAM AADMI PARTY,3794,Lost,,,E,Women,2673159,0,,,,,,,,,,,,,,,,Graduate
Bhagat Singh Tokas,MUNIRKA,66-S,BHARATIYA JANATA PARTY,11390,Winner,24498,54470,S,General,19151150,822910,Correct,39,married,2,0,yes,yes,yes,yes,1,0,1699000,business,housewife,11390,12th Pass
Rekha Vasisht,BABARPUR,50-E,INDIAN NATIONAL CONGRESS,9063,Lost,,,E,Women,34829060,251540,,,,,,,,,,,,,,,9063,Post Graduate
NOTA,BABARPUR,50-E,,113,,,,E,Women,,,,,,,,,,,,,,,,,,
Praveen,PEERA GARHI,50-N,INDEPENDENT,100,Lost,,,N,General,411132,0,,,,,,,,,,,,,,,,8th Pass
Kuldeep,PEERA GARHI,50-N,INDEPENDENT,323,Lost,,,N,General,4999106,552293,,,,,,,,,,,,,,,,8th Pass
Prem Arora,PEERA GARHI,50-N,INDEPENDENT,152,Lost,,,N,General,5253245,421767,,,,,,,,,,,,,,,,12th Pass
Sunny Khera,PEERA GARHI,50-N,AAM AADMI PARTY,6100,Lost,,,N,General,5919924,476420,,,,,,,,,,,,,,,6100,Graduate
Tarun Kothari,PEERA GARHI,50-N,INDEPENDENT,25,Lost,,,N,General,7349309,1266355,,,,,,,,,,,,,,,,Graduate Professional
Amit Bhardwaj,PEERA GARHI,50-N,INDEPENDENT,39,Lost,,,N,General,8553250,767000,,,,,,,,,,,,,,,,12th Pass
Parveen,MUSTAFABAD,58-E,INDIAN NATIONAL CONGRESS,14451,Winner,33054,57459,E,Women,3214346,0,Correct,39,married,3,0,yes,yes,yes,yes,0,0,1414346,business,business,14451,Literate
Ashish Bhardwaj,PEERA GARHI,50-N,INDIAN NATIONAL CONGRESS,4747,Lost,,,N,General,20031510,0,,,,,,,,,,,,,,,,Graduate Professional
Rajpal,PEERA GARHI,50-N,INDEPENDENT,1449,Lost,,,N,General,26898395,9221629,,,,,,,,,,,,,,,,Post Graduate
NOTA,PEERA GARHI,50-N,,292,,,,N,General,,,,,,,,,,,,,,,,,,
Meena Devi,NAJAFGARH,43-S,INDEPENDENT,7643,Winner,29025,51679,S,Women,14623463,13049448,Correct,45,married,2,0,no,no,yes,yes,0,0,13951438,housewife,business,7643,12th Pass
Amrish,MAHIPALPUR,50-S,INDEPENDENT,6995,Lost,,,S,General,128306152,0,,,,,,,,,,,,,,,6995,Graduate
Vikas Sehrawat,MAHIPALPUR,50-S,AAM AADMI PARTY,2685,Lost,,,S,General,2155836,833060,,,,,,,,,,,,,,,,Graduate
Sanjay Kumar Sehrawat,MAHIPALPUR,50-S,INDIAN NATIONAL CONGRESS,2575,Lost,,,S,General,13747507,2200000,,,,,,,,,,,,,,,,12th Pass
Jai Kumar Sehrawat,MAHIPALPUR,50-S,INDEPENDENT,1314,Lost,,,S,General,41289794,0,,,,,,,,,,,,,,,,Graduate
Anil Kumar,MAHIPALPUR,50-S,INDEPENDENT,1178,Lost,,,S,General,18850000,95200,,,,,,,,,,,,,,,,10th Pass
Arvind,MAHIPALPUR,50-S,BAHUJAN SAMAJ PARTY,517,Lost,,,S,General,556060,22000,,,,,,,,,,,,,,,,8th Pass
Suresh Kumar,MAHIPALPUR,50-S,INDEPENDENT,359,Lost,,,S,General,24129357,3500000,,,,,,,,,,,,,,,,Illiterate
Mukesh Kumar,MAHIPALPUR,50-S,INDEPENDENT,296,Lost,,,S,General,3092412,400000,,,,,,,,,,,,,,,,5th Pass
Rani,MAHIPALPUR,50-S,INDEPENDENT,228,Lost,,,S,General,11487529,650000,,,,,,,,,,,,,,,,10th Pass
Bhagwan Davi,MAHIPALPUR,50-S,"COMMUNIST PARTY OF INDIA
(MARXIST)",210,Lost,,,S,General,1111877,0,,,,,,,,,,,,,,,,Illiterate
Vicky Yadav,MAHIPALPUR,50-S,INDEPENDENT,151,Lost,,,S,General,6195000,0,,,,,,,,,,,,,,,,8th Pass
Suresh Chander,MAHIPALPUR,50-S,INDEPENDENT,100,Lost,,,S,General,40031570,0,,,,,,,,,,,,,,,,Graduate
Sakila Begam,MAHIPALPUR,50-S,INDEPENDENT,95,Lost,,,S,General,66133,0,,,,,,,,,,,,,,,,Illiterate
NOTA,MAHIPALPUR,50-S,,89,,,,S,General,,,,,,,,,,,,,,,,,,
Mohd Rahees,MAHIPALPUR,50-S,INDEPENDENT,38,Lost,,,S,General,5108000,250000,,,,,,,,,,,,,,,,5th Pass
DEVRAJ SEHRAWAT,MAHIPALPUR,50-S,INDIAN NATIONAL LOK DAL,860,Lost,,,S,General,,,,,,,,,,,,,,,,,,
Nagma,JANTA COLONY,51-E,INDEPENDENT,33,Lost,,,E,General,30000,0,,,,,,,,,,,,,,,,Not Given
Aamir Khan,JANTA COLONY,51-E,"SAMAJWADI
PARTY",598,Lost,,,E,General,90000,0,,,,,,,,,,,,,,,,12th Pass
Prem Babu Saxena,JANTA COLONY,51-E,AAM AADMI PARTY,6779,Lost,,,E,General,403655,35000,,,,,,,,,,,,,,,6779,Graduate
Abbas Haider,JANTA COLONY,51-E,INDEPENDENT,310,Lost,,,E,General,1200000,0,,,,,,,,,,,,,,,,Not Given
Ikbal Husain,JANTA COLONY,51-E,"COMMUNIST
PARTY OF INDIA",224,Lost,,,E,General,3517549,0,,,,,,,,,,,,,,,,5th Pass
Zakir Khan,JANTA COLONY,51-E,INDEPENDENT,6180,Lost,,,E,General,6130693,0,,,,,,,,,,,,,,,,Graduate
Mohd Khalil,JANTA COLONY,51-E,BAHUJAN SAMAJ PARTY,129,Lost,,,E,General,9461151,0,,,,,,,,,,,,,,,,12th Pass
KR. RINKU,NAND NAGRI,32-E,INDIAN NATIONAL CONGRESS,10950,Winner,32769,50517,E,SC,3500000,350000,Error -Fixed,42,single,nil,nil,yes,yes,nil,nil,0,0,,business,na,10950,10th Pass
Deepak Vashisth,JANTA COLONY,51-E,INDIAN NATIONAL CONGRESS,2289,Lost,,,E,General,30261105,850000,,,,,,,,,,,,,,,,12th Pass
NOTA,JANTA COLONY,51-E,,79,,,,E,General,,,,,,,,,,,,,,,,,,
Neetu,NIHAL VIHAR,51-N,SHIV SENA,367,Lost,,,N,Women,15000,0,,,,,,,,,,,,,,,,12th Pass
Sapna Srivastava,NIHAL VIHAR,51-N,INDEPENDENT,86,Lost,,,N,Women,192525,0,,,,,,,,,,,,,,,,8th Pass
Neha Rani,NIHAL VIHAR,51-N,BAHUJAN SAMAJ PARTY,852,Lost,,,N,Women,332390,296927,,,,,,,,,,,,,,,,12th Pass
Afsana,NIHAL VIHAR,51-N,INDEPENDENT,177,Lost,,,N,Women,2504749,0,,,,,,,,,,,,,,,,Graduate
Babita Bindal,NIHAL VIHAR,51-N,INDEPENDENT,108,Lost,,,N,Women,3484196,0,,,,,,,,,,,,,,,,10th Pass
Nirmala,NIHAL VIHAR,51-N,AAM AADMI PARTY,8118,Lost,,,N,Women,8591250,0,,,,,,,,,,,,,,,,5th Pass
Poonam,NANGAL THAKRAN,29-N,INDEPENDENT,11370,Winner,32422,49593,N,Women,15053198,0,,40,married,nil,0,yes,no,yes,no,0,0,9144870,housewife,social worker,11370,6th Class
Shashi Lata Sharma,NIHAL VIHAR,51-N,INDIAN NATIONAL CONGRESS,8670,Lost,,,N,Women,19768954,0,,,,,,,,,,,,,,,8670,10th Pass
NOTA,NIHAL VIHAR,51-N,,202,,,,N,Women,,,,,,,,,,,,,,,,,,
Santosh,NANGLI SAKRAWATI,34-S,INDIAN NATIONAL CONGRESS,9714,Winner,32286,57798,S,Women,76752564,0,Error -Fixed,37,Married,0,0,yes,Yes,Yes,Yes,0,0,,Social Worker,Agriculture,9714,5th Pass
Rakhi,MADHU VIHAR,51-S,AAM AADMI PARTY,9713,Lost,,,S,Women,655422,0,,,,,,,,,,,,,,,9713,Graduate
Anita Solanki,MADHU VIHAR,51-S,INDIAN NATIONAL CONGRESS,2868,Lost,,,S,Women,40125624,1305323,,,,,,,,,,,,,,,,8th Pass
NOTA,MADHU VIHAR,51-S,,285,,,,S,Women,,,,,,,,,,,,,,,,,,
Rinku Devi,MADHU VIHAR,51-S,"COMMUNIST PARTY OF
INDIA",167,Lost,,,S,Women,1320200,0,,,,,,,,,,,,,,,,5th Pass
Hema Mehta,MADHU VIHAR,51-S,SHIV SENA,1617,Lost,,,S,Women,,,,,,,,,,,,,,,,,,
Roshan Lal,JOHARIPUR,52-E,AAM AADMI PARTY,5669,Lost,,,E,SC,3499585,0,,,,,,,,,,,,,,,,10th Pass
Roshan Lal,JOHARIPUR,52-E,AAM AADMI PARTY,1487,Lost,,,E,SC,6759392,0,,,,,,,,,,,,,,,,10th Pass
"MANI
PARKASH",JOHARIPUR,52-E,BAHUJAN SAMAJ PARTY,6338,Lost,,,E,SC,12676713,380000,,,,,,,,,,,,,,,6338,10th Pass
Yogender Kumar,JOHARIPUR,52-E,INDEPENDENT,859,Lost,,,E,SC,14446365,0,,,,,,,,,,,,,,,,8th Pass
Jyoti,NANGLOI,37-N,BHARATIYA JANATA PARTY,5816,Winner,24559,44681,N,SC,2173001,0,Error -Fixed,27,married,1,1,yes,yes,yes,no,0,0,530296,business,self-Employed,5816,8th Pass
Ishwar Singh,JOHARIPUR,52-E,INDIAN NATIONAL CONGRESS,5764,Lost,,,E,SC,41388703,201174,,,,,,,,,,,,,,,,8th Pass
NOTA,JOHARIPUR,52-E,,153,,,,E,SC,,,,,,,,,,,,,,,,,,
Nisha Gajmoti,LAKSHMI PARK,52-N,INDEPENDENT,228,Lost,,,N,General,36679,0,,,,,,,,,,,,,,,,12th Pass
Madan Kumar Jha,LAKSHMI PARK,52-N,INDEPENDENT,35,Lost,,,N,General,84280,0,,,,,,,,,,,,,,,,12th Pass
Mahesh Kumar,LAKSHMI PARK,52-N,BAHUJAN SAMAJ PARTY,715,Lost,,,N,General,144478,0,,,,,,,,,,,,,,,,Not Given
Nitin Kumar,LAKSHMI PARK,52-N,INDEPENDENT,61,Lost,,,N,General,163197,112711,,,,,,,,,,,,,,,,5th Pass
Ashish Sharma,LAKSHMI PARK,52-N,INDEPENDENT,213,Lost,,,N,General,528604,0,,,,,,,,,,,,,,,,12th Pass
Suman Dwivedi,LAKSHMI PARK,52-N,INDEPENDENT,128,Lost,,,N,General,1248949,0,,,,,,,,,,,,,,,,10th Pass
Ved Prakash,LAKSHMI PARK,52-N,INDEPENDENT,56,Lost,,,N,General,1435152,96228,,,,,,,,,,,,,,,,12th Pass
Naresh Kumar,LAKSHMI PARK,52-N,"ALL INDIA FORWARD
BLOC",142,Lost,,,N,General,3110000,0,,,,,,,,,,,,,,,,8th Pass
Pappu,LAKSHMI PARK,52-N,AAM AADMI PARTY,5524,Lost,,,N,General,5006756,389091,,,,,,,,,,,,,,,,12th Pass
Roshan Lal,LAKSHMI PARK,52-N,INDEPENDENT,98,Lost,,,N,General,6759392,0,,,,,,,,,,,,,,,,12th Pass
Bijender,LAKSHMI PARK,52-N,BHARATIYA JANATA PARTY,11182,Lost,,,N,General,8677240,0,,,,,,,,,,,,,,,11182,12th Pass
Ajay Kumar Dabas,LAKSHMI PARK,52-N,INDEPENDENT,44,Lost,,,N,General,10823222,0,,,,,,,,,,,,,,,,10th Pass
Mohit Kumar,NANGLOI JAT,49-N,BHARATIYA JANATA PARTY,9944,Winner,34225,66239,N,SC,2383459,0,Correct,31,married,2,0,yes,yes,yes,no,0,0,326000,business,housewife,9944,10th Pass
Veena Saini,LAKSHMI PARK,52-N,INDEPENDENT,489,Lost,,,N,General,59721371,0,,,,,,,,,,,,,,,,10th Pass
NOTA,LAKSHMI PARK,52-N,,170,,,,N,General,,,,,,,,,,,,,,,,,,
Chhail Bihari Goswami,NARAINA,104-N,BHARATIYA JANATA PARTY,12933,Winner,29827,62680,N,General,3941473,0,Correct,44,married,2,0,yes,yes,yes,yes,0,0,1713986,advocate,teacher,12933,Graduate Professional
Sudeshwati,MAHAVIR ENCLAVE,52-S,INDIAN NATIONAL CONGRESS,10730,Lost,,,S,General,131900461,25022996,,,,,,,,,,,,,,,10730,12th Pass
Ajay Rai,MAHAVIR ENCLAVE,52-S,AAM AADMI PARTY,10182,Lost,,,S,General,3167523,0,,,,,,,,,,,,,,,,12th Pass
Rakesh Kumar,MAHAVIR ENCLAVE,52-S,JANATA DAL (UNITED),1144,Lost,,,S,General,168226,0,,,,,,,,,,,,,,,,8th Pass
Rajesh Kumar,MAHAVIR ENCLAVE,52-S,BAHUJAN SAMAJ PARTY,290,Lost,,,S,General,2052000,280000,,,,,,,,,,,,,,,,10th Pass
Praveen Kumar Jadon,MAHAVIR ENCLAVE,52-S,INDEPENDENT,270,Lost,,,S,General,17454900,0,,,,,,,,,,,,,,,,8th Pass
NOTA,MAHAVIR ENCLAVE,52-S,,198,,,,S,General,,,,,,,,,,,,,,,,,,
V K Pathak,MAHAVIR ENCLAVE,52-S,INDEPENDENT,179,Lost,,,S,General,7918000,500000,,,,,,,,,,,,,,,,Literate
Vimlesh Jha,MAHAVIR ENCLAVE,52-S,INDEPENDENT,173,Lost,,,S,General,71000,0,,,,,,,,,,,,,,,,8th Pass
Nitin Sharma,MAHAVIR ENCLAVE,52-S,INDEPENDENT,96,Lost,,,S,General,196065,0,,,,,,,,,,,,,,,,10th Pass
Sunil Singh Gusain,MAHAVIR ENCLAVE,52-S,INDEPENDENT,82,Lost,,,S,General,203000,0,,,,,,,,,,,,,,,,12th Pass
Virender Kumar,MAHAVIR ENCLAVE,52-S,INDEPENDENT,69,Lost,,,S,General,350000,0,,,,,,,,,,,,,,,,12th Pass
Payal Choudhary,MAHAVIR ENCLAVE,52-S,INDEPENDENT,66,Lost,,,S,General,15000,0,,,,,,,,,,,,,,,,Graduate
Narinder Singh,MAHAVIR ENCLAVE,52-S,INDEPENDENT,61,Lost,,,S,General,14833872,0,,,,,,,,,,,,,,,,Post Graduate
Girish Chander,MAHAVIR ENCLAVE,52-S,INDEPENDENT,2255,Lost,,,S,General,,,,,,,,,,,,,,,,,,
Twinkal,GOKAL PURI,53-E,INDEPENDENT,183,Lost,,,E,SCW,5000,0,,,,,,,,,,,,,,,,Not Given
Sunita,GOKAL PURI,53-E,INDEPENDENT,137,Lost,,,E,SCW,58000,0,,,,,,,,,,,,,,,,8th Pass
Rachna,GOKAL PURI,53-E,INDEPENDENT,25,Lost,,,E,SCW,2401000,0,,,,,,,,,,,,,,,,Graduate
Maya,GOKAL PURI,53-E,INDEPENDENT,382,Lost,,,E,SCW,2660000,0,,,,,,,,,,,,,,,,Graduate Professional
Rakesh,GOKAL PURI,53-E,INDIAN NATIONAL CONGRESS,2134,Lost,,,E,SCW,5204219,0,,,,,,,,,,,,,,,,Graduate Professional
Savita,NARELA,1-N,BHARATIYA JANATA PARTY,12107,Winner,28721,50420,N,Women,22466219,225000,Error -Fixed,35,Married,1,0,yes,no,yes,no,0,0,19790812,housewife,professional - Government,12107,10th Pass
Deepa Rani,GOKAL PURI,53-E,BAHUJAN SAMAJ PARTY,5136,Lost,,,E,SCW,26476669,0,,,,,,,,,,,,,,,,12th Pass
"SOMWATI
CHAUDHARY",GOKAL PURI,53-E,AAM AADMI PARTY,9666,Lost,,,E,SCW,44287613,2900000,,,,,,,,,,,,,,,9666,5th Pass
NOTA,GOKAL PURI,53-E,,209,,,,E,SCW,,,,,,,,,,,,,,,,,,
Guddi Devi,ROHINI-E,53-N,INDEPENDENT,122,Lost,,,N,Women,2384798,0,,,,,,,,,,,,,,,,Illiterate
Bimla Devi,ROHINI-E,53-N,INDEPENDENT,449,Lost,,,N,Women,11069837,0,,,,,,,,,,,,,,,,Illiterate
Krishan Gahlot,NAWADA,27-S,INDEPENDENT,9537,Winner,25548,43526,S,General,22008801,26546913,Correct,42,Married,2,0,Yes,Yes,Yes,Yes,0,0,,Business,Business,9537,12th Pass
Kamlesh Garg,ROHINI-E,53-N,INDIAN NATIONAL CONGRESS,5265,Lost,,,N,Women,26424799,11106000,,,,,,,,,,,,,,,,8th Pass
Neha,ROHINI-E,53-N,AAM AADMI PARTY,8529,Lost,,,N,Women,55785398,0,,,,,,,,,,,,,,,8529,
NOTA,ROHINI-E,53-N,,262,,,,N,Women,,,,,,,,,,,,,,,,,,
Sunita,SADH NAGAR,53-S,INDEPENDENT,23,Lost,,,S,Women,1332836,200000,,,,,,,,,,,,,,,,10th Pass
Anju Kumari,SADH NAGAR,53-S,AAM AADMI PARTY,10143,Lost,,,S,Women,1513934,50000,,,,,,,,,,,,,,,10143,12th Pass
Meenu Sharma,SADH NAGAR,53-S,INDEPENDENT,108,Lost,,,S,Women,2908328,0,,,,,,,,,,,,,,,,Post Graduate
Reeta Goswami,SADH NAGAR,53-S,JANATA DAL (UNITED),252,Lost,,,S,Women,3476844,0,,,,,,,,,,,,,,,,Post Graduate
Geeta,SADH NAGAR,53-S,BAHUJAN SAMAJ PARTY,1170,Lost,,,S,Women,6234024,90250,,,,,,,,,,,,,,,,12th Pass
Manju Sharma,SADH NAGAR,53-S,INDIAN NATIONAL CONGRESS,4569,Lost,,,S,Women,7175964,0,,,,,,,,,,,,,,,,Graduate
Mohd Tahir Hussain,NEHRU VIHAR,59-E,AAM AADMI PARTY,13447,Winner,41333,65378,E,General,177858592,16248976,Correct,40,married,3,0,yes,yes,yes,yes,0,0,scan not readable,business,business,13447,8th Pass
Rekha Yadav,SADH NAGAR,53-S,INDEPENDENT,314,Lost,,,S,Women,18174070,2873184,,,,,,,,,,,,,,,,Graduate
NOTA,SADH NAGAR,53-S,,176,,,,S,Women,,,,,,,,,,,,,,,,,,
Amit Kumar,SABOLI,54-E,INDEPENDENT,44,Lost,,,E,SC,32159,0,,,,,,,,,,,,,,,,Graduate
Manju,SABOLI,54-E,INDEPENDENT,76,Lost,,,E,SC,488743,0,,,,,,,,,,,,,,,,12th Pass
Mange Ram,SABOLI,54-E,INDEPENDENT,169,Lost,,,E,SC,1567000,0,,,,,,,,,,,,,,,,8th Pass
Akash Joshi,SABOLI,54-E,INDIAN NATIONAL CONGRESS,4446,Lost,,,E,SC,6420295,0,,,,,,,,,,,,,,,,Graduate
Shiv Dutt Harit,SABOLI,54-E,INDEPENDENT,73,Lost,,,E,SC,10194000,0,,,,,,,,,,,,,,,,10th Pass
